year,month,yyyymm,Statment,Papers,FSR,SLOOS,beigebook
2017,2,Feb-17,0.33,0.32,0.32,0.29,0.24
2017,3,Mar-17,0.4,0.4,0.4,0.35,0.35
2017,5,May-17,0.34,0.36,0.36,0.33,0.28
2017,6,Jun-17,0.4,0.35,0.35,0.3,0.33
2017,7,Jul-17,0.35,0.32,0.32,0.24,0.26
2017,9,Sep-17,0.38,0.36,0.36,0.28,0.25
2017,11,Nov-17,0.4,0.43,0.43,0.38,0.41
2017,12,Dec-17,0.58,0.55,0.55,0.5,0.58
2018,1,Jan-18,0.66,0.65,0.6,0.55,0.53
2018,3,Mar-18,0.4,0.52,0.49,0.52,0.58
2018,5,May-18,0.44,0.4,0.35,0.3,0.27
2018,6,Jun-18,0.75,0.7,0.7,0.66,0.64
2018,8,Aug-18,0.65,0.67,0.67,0.63,0.65
2018,9,Sep-18,0.79,0.72,0.72,0.76,0.82
2018,11,Nov-18,0.66,0.65,0.58,0.5,0.45
2018,12,Dec-18,0.64,0.6,0.52,0.43,0.46
2019,1,Jan-19,0.4,0.48,0.44,0.36,0.3
2019,3,Mar-19,0.15,0.18,,,0.03
2019,5,May-19,0.27,0.22,,,0.05
2019,6,Jun-19,0.2,0.12,0.08,0.04,0.04
2019,7,Jul-19,0.21,0.2,0.15,0.08,0.06
2019,9,Sep-19,0.23,0.2,0.15,0.08,0.06
2019,10,Oct-19,0.2,0.22,0.15,0.08,0.06
2019,12,Dec-19,0.3,0.25,0.2,0.12,0.14
2020,1,Jan-20,0.28,0.25,0.2,0.12,0.08
2020,3,Mar-20,-0.2,-0.1,-0.14,-0.24,-0.22
2020,3,20-Mar,0.23,0.22,0.15,0.08,0.06
2020,4,Apr-20,-0.75,-0.45,-0.55,-0.65,-0.68
2020,6,Jun-20,-0.66,-0.5,-0.45,-0.55,-0.62
2020,7,Jul-20,-0.4,-0.22,-0.28,-0.35,-0.25
2020,9,Sep-20,-0.25,-0.1,-0.2,-0.3,-0.2
2020,11,Nov-20,-0.25,-0.1,-0.15,-0.2,-0.1
2020,12,Dec-20,-0.22,-0.1,-0.08,-0.12,-0.18
2021,1,Jan-21,-0.3,-0.15,-0.1,-0.09,-0.05
2021,3,Mar-21,0.1,0.2,0.15,0.2,0.27
2021,4,Apr-21,0.2,0.22,0.2,0.3,0.35
2021,6,Jun-21,0.4,0.435,0.4,0.45,0.44
2021,7,Jul-21,0.4,0.45,0.4,0.55,0.6
2021,9,Sep-21,0.3,0.25,0.16,0.25,0.2
2021,11,Nov-21,0.3,0.25,0.2,0.3,0.25
2021,12,Dec-21,0.32,0.27,0.19,0.27,0.27
2022,1,Jan-22,0.26,0.2,0.1,0.18,0.15
2022,3,Mar-22,0.1,0.04,-0.03,-0.01,0.03
2022,5,May-22,-0.15,-0.18,-0.2,-0.12,-0.1
2022,6,Jun-22,-0.15,-0.2,-0.27,-0.19,-0.15
2022,7,Jul-22,-0.3,-0.4,-0.45,-0.48,-0.55
2022,9,Sep-22,-0.25,-0.35,-0.4,-0.5,-0.48
2022,11,Nov-22,-0.2,-0.25,-0.3,-0.4,-0.45
2022,12,Dec-22,-0.2,-0.25,-0.3,-0.4,-0.5
2023,2,Feb-23,-0.1,-0.14,-0.15,-0.15,-0.12
2023,3,Mar-23,-0.14,-0.18,-0.22,-0.3,-0.35
2023,5,May-23,0.1,0.04,-0.05,-0.2,-0.2
2023,6,Jun-23,0.1,0.05,-0.02,-0.12,-0.12
2023,7,Jul-23,0.1,0.05,0.03,-0.04,-0.02
2023,9,Sep-23,0.18,0.1,0.05,-0.05,-0.12
2023,11,Nov-23,0.15,0.1,0.05,-0.05,-0.15
2023,12,Dec-23,-0.1,-0.08,-0.1,-0.2,-0.25
2024,1,Jan-24,0.3,0.2,0.1,0.05,0
2024,3,Mar-24,0.32,0.29,0.2,0.1,0.1
2024,5,May-24,0.2,0.1,0.05,-0.02,0.02
2024,6,Jun-24,0.3,0.27,0.21,0.14,0.1
2024,7,Jul-24,0.25,0.2,0.15,0.07,0.04
2024,9,Sep-24,0.3,0.4,0.32,0.24,0.2
2024,11,Nov-24,0.3,0.25,0.2,0.15,0.1
2024,12,Dec-24,0.3,0.32,0.27,0.22,0.2
2025,1,Jan-25,0.3,0.25,0.15,0.1,0.05
2025,3,Mar-25,0.22,0.25,0.2,0.16,0.12
2025,5,May-25,0.15,0.1,0.05,-0.05,-0.08
2025,6,Jun-25,0.3,0.22,0.15,0.1,0.05
2025,7,Jul-25,-0.15,-0.08,-0.08,-0.12,-0.2
