score_1,score_2,score_3,score_4,score_5,FOMC_date,median_llm,,Statement,P&B,Policy,,,,diff,,,,,,
0.38,0.25,0.3,0.35,0.3,2017-02-01,0.3,,0.33,0.32,0.24,,,,0.03,,-0.02,,0.76028276,statement+llm,
0.45,0.44,0.4,0.4,0.42,2017-03-15,0.42,,0.4,0.4,0.35,,,,-0.02,,-0.017,,0.760282876,,
0.4,0.3,0.35,0.34,0.35,2017-05-03,0.35,,0.34,0.36,0.28,,,,-0.01,,0.331575073,,,,
0.4,0.43,0.45,0.45,0.43,2017-06-14,0.43,,0.4,0.35,0.33,,,,-0.03,,0.326360475,,0.776219641,theory+llm,
0.36,0.35,0.4,0.36,0.35,2017-07-26,0.36,,0.35,0.32,0.26,,,,-0.01,,,,0.776225961,,
0.4,0.45,0.35,0.43,0.38,2017-09-20,0.4,,0.38,0.36,0.25,,,,-0.02,,,,,,
0.45,0.4,0.4,0.4,0.45,2017-11-01,0.4,,0.4,0.43,0.41,,,,0,,,,0.049429236,policy+llm,
0.55,0.62,0.54,0.55,0.5,2017-12-13,0.55,,0.58,0.55,0.58,,,,0.03,,,,0.049429334,,
0.63,0.56,0.64,0.64,0.64,2018-01-31,0.64,,0.66,0.65,0.53,,,,0.02,,,,,,
0.45,0.36,0.5,0.4,0.55,2018-03-21,0.45,,0.4,0.52,0.58,,,,-0.05,,,,0.76028276,,
0.43,0.6,0.45,0.58,0.43,2018-05-02,0.45,,0.44,0.4,0.27,,,,-0.01,,,,,,
0.74,0.74,0.75,0.72,0.7,2018-06-13,0.74,,0.75,0.7,0.64,,,,0.01,,,,,,
0.75,0.8,0.72,0.73,0.75,2018-08-01,0.75,,0.65,0.67,0.65,,,,-0.1,,,llm,llmG,llmG(+TH),llmG(+TH+PO)
0.85,0.84,0.8,0.8,0.84,2018-09-26,0.84,,0.79,0.72,0.82,,,,-0.05,,llm,,,,
0.68,0.7,0.7,0.74,0.7,2018-11-08,0.7,,0.66,0.65,0.45,,,,-0.04,,llmG,,,,
0.7,0.64,0.7,0.7,0.68,2018-12-19,0.7,,0.7,0.65,0.55,,,,0,,llmG(+Th),,,,
0.45,0.45,0.5,0.45,0.44,2019-01-30,0.45,,0.48,0.58,0.4,,,,0.03,,,,,,
0.15,0.25,0.2,0.1,0.2,2019-03-20,0.2,,0.15,0.18,0.03,,,,-0.05,,,,,,
0.3,0.3,0.35,0.3,0.3,2019-05-01,0.3,,0.27,0.22,0.05,,,,-0.03,,,,,,
0.2,0.15,0.25,0.2,0.2,2019-06-19,0.2,,0.2,0.12,0.04,,,,0,,,,,,
0.3,0.25,0.3,0.25,0.24,2019-07-31,0.25,,0.21,0.2,0.06,,,,-0.04,,,,,,
0.28,0.2,0.24,0.25,0.2,2019-09-18,0.24,,0.23,0.2,0.06,,,,-0.01,,,,,,
0.2,0.25,0.2,0.2,0.27,2019-10-30,0.2,,0.2,0.22,0.06,,,,0,,,,,,
0.3,0.3,0.3,0.35,0.3,2019-12-11,0.3,,0.3,0.25,0.14,,,,0,,,,,,
0.3,0.29,0.2,0.3,0.3,2020-01-29,0.3,,0.28,0.25,0.08,,,,-0.02,,,,,,
-0.2,-0.15,-0.2,-0.15,-0.18,2020-03-03,-0.18,,-0.2,-0.1,-0.22,,,,-0.02,,,,,,
-0.48,-0.4,-0.4,-0.45,-0.35,2020-03-15,-0.4,,-0.62,-0.4,-0.66,,,,-0.22,,,,,,
-0.85,-0.82,-0.72,-0.85,-0.78,2020-04-29,-0.82,,-0.75,-0.45,-0.68,,,,0.07,,,,,,
-0.64,-0.62,-0.62,-0.7,-0.62,2020-06-10,-0.62,,-0.66,-0.5,-0.62,,,,-0.04,,,,,,
-0.4,-0.4,-0.4,-0.4,-0.4,2020-07-29,-0.4,,-0.4,-0.22,-0.25,,,,0,,,,,,
-0.25,-0.2,-0.35,-0.3,-0.3,2020-09-16,-0.3,,-0.25,-0.1,-0.2,,,,0.05,,,,,,
