filename,score_1,score_2,score_3,score_4,score_5
monetary20170201a1.csv,0.38,0.25,0.30,0.35,0.30
monetary20170315a1.csv,0.45,0.44,0.40,0.40,0.42
monetary20170503a1.csv,0.40,0.30,0.35,0.34,0.35
monetary20170614a1.csv,0.40,0.43,0.45,0.45,0.43
monetary20170726a1.csv,0.36,0.35,0.40,0.36,0.35
monetary20170920a1.csv,0.40,0.45,0.35,0.43,0.38
monetary20171101a1.csv,0.45,0.40,0.40,0.40,0.45
monetary20171213a1.csv,0.55,0.62,0.54,0.55,0.50
monetary20180131a1.csv,0.63,0.56,0.64,0.64,0.64
monetary20180321a1.csv,0.45,0.36,0.50,0.40,0.55
monetary20180502a1.csv,0.43,0.60,0.45,0.58,0.43
monetary20180613a1.csv,0.74,0.74,0.75,0.72,0.70
monetary20180801a1.csv,0.75,0.80,0.72,0.73,0.75
monetary20180926a1.csv,0.85,0.84,0.80,0.80,0.84
monetary20181108a1.csv,0.68,0.70,0.70,0.74,0.70
monetary20181219a1.csv,0.70,0.64,0.70,0.70,0.68
monetary20190130a1.csv,0.45,0.45,0.50,0.45,0.44
monetary20190320a1.csv,0.15,0.25,0.20,0.10,0.20
monetary20190501a1.csv,0.30,0.30,0.35,0.30,0.30
monetary20190619a1.csv,0.20,0.15,0.25,0.20,0.20
monetary20190731a1.csv,0.30,0.25,0.30,0.25,0.24
monetary20190918a1.csv,0.28,0.20,0.24,0.25,0.20
monetary20191030a1.csv,0.20,0.25,0.20,0.20,0.27
monetary20191211a1.csv,0.30,0.30,0.30,0.35,0.30
monetary20200129a1.csv,0.30,0.29,0.20,0.30,0.30
monetary20200303a1.csv,-0.20,-0.15,-0.20,-0.15,-0.18
monetary20200315a1.csv,-0.48,-0.40,-0.40,-0.45,-0.35
monetary20200429a1.csv,-0.85,-0.82,-0.72,-0.85,-0.78
monetary20200610a1.csv,-0.64,-0.62,-0.62,-0.70,-0.62
monetary20200729a1.csv,-0.40,-0.40,-0.40,-0.40,-0.40
monetary20200916a1.csv,-0.25,-0.20,-0.35,-0.30,-0.30
monetary20201105a1.csv,-0.20,-0.30,-0.29,-0.32,-0.35
monetary20201216a1.csv,-0.30,-0.18,-0.38,-0.30,-0.25
monetary20210127a1.csv,-0.25,-0.30,-0.24,-0.35,-0.30
monetary20210317a1.csv,-0.10,0.10,0.12,-0.18,0.10
monetary20210428a1.csv,0.30,0.20,0.27,0.22,0.20
monetary20210616a1.csv,0.43,0.44,0.45,0.40,0.50
monetary20210728a1.csv,0.45,0.44,0.40,0.48,0.45
monetary20210922a1.csv,0.38,0.30,0.35,0.35,0.34
monetary20211103a1.csv,0.35,0.25,0.36,0.35,0.34
monetary20211215a1.csv,0.40,0.35,0.35,0.35,0.35
monetary20220126a1.csv,0.34,0.30,0.30,0.25,0.36
monetary20220316a1.csv,0.10,0.10,0.10,0.14,0.15
monetary20220504a1.csv,-0.12,-0.10,-0.10,-0.20,-0.12
monetary20220615a1.csv,-0.12,-0.15,-0.10,-0.12,-0.10
monetary20220727a1.csv,-0.35,-0.32,-0.30,-0.35,-0.25
monetary20220921a1.csv,-0.30,-0.22,-0.22,-0.25,-0.23
monetary20221102a1.csv,-0.25,-0.25,-0.25,-0.20,-0.25
monetary20221214a1.csv,-0.20,-0.15,-0.12,-0.18,-0.14
monetary20230201a1.csv,-0.15,0.10,-0.10,-0.15,-0.15
monetary20230322a1.csv,-0.10,-0.10,-0.10,-0.12,-0.10
monetary20230503a1.csv,0.10,0.10,0.10,0.10,0.10
monetary20230614a1.csv,0.10,0.15,0.20,0.10,0.20
monetary20230726a1.csv,0.15,0.15,0.10,0.12,0.10
monetary20230920a1.csv,0.17,0.20,0.20,0.20,0.20
monetary20231101a1.csv,0.20,0.23,0.22,0.20,0.15
monetary20231213a1.csv,-0.05,-0.08,-0.12,-0.10,-0.10
monetary20240131a1.csv,0.20,0.25,0.32,0.25,0.25
monetary20240320a1.csv,0.36,0.40,0.35,0.30,0.30
monetary20240501a1.csv,0.20,0.25,0.30,0.25,0.18
monetary20240612a1.csv,0.30,0.40,0.30,0.35,0.35
monetary20240731a1.csv,0.28,0.15,0.24,0.30,0.25
monetary20240918a1.csv,0.30,0.38,0.30,0.32,0.35
monetary20241107a1.csv,0.35,0.30,0.30,0.35,0.40
monetary20241218a1.csv,0.35,0.30,0.30,0.35,0.30
monetary20250129a1.csv,0.30,0.34,0.30,0.34,0.35
monetary20250319a1.csv,0.28,0.28,0.30,0.35,0.30
monetary20250507a1.csv,0.20,0.15,0.20,0.10,0.15
monetary20250618a1.csv,0.30,0.24,0.35,0.26,0.35
monetary20250730a1.csv,0.05,-0.16,-0.10,-0.10,-0.18
