statement_date,Statment,P&B,Policy
2017-02-01,0.33,0.32,0.29
2017-03-01,0.4,0.4,0.35
2017-05-01,0.34,0.36,0.33
2017-06-01,0.4,0.35,0.3
2017-07-01,0.35,0.32,0.24
2017-09-01,0.38,0.36,0.28
2017-11-01,0.4,0.43,0.38
2017-12-01,0.58,0.55,0.5
2018-01-01,0.66,0.65,0.55
2018-03-01,0.4,0.52,0.52
2018-05-01,0.44,0.4,0.3
2018-06-01,0.75,0.7,0.66
2018-08-01,0.65,0.67,0.63
2018-09-01,0.79,0.72,0.76
2018-11-01,0.66,0.65,0.5
2018-12-01,0.64,0.6,0.43
2019-01-01,0.4,0.48,0.36
2019-06-01,0.2,0.12,0.04
2019-07-01,0.21,0.2,0.08
2019-09-01,0.23,0.2,0.08
2019-10-01,0.2,0.22,0.08
2019-12-01,0.3,0.25,0.12
2020-01-01,0.28,0.25,0.12
2020-03-01,-0.2,-0.1,-0.24
2020-03-01,-0.62,-0.4,-0.65
2020-04-01,-0.75,-0.45,-0.65
2020-06-01,-0.66,-0.5,-0.55
2020-07-01,-0.4,-0.22,-0.35
2020-09-01,-0.25,-0.1,-0.3
2020-11-01,-0.25,-0.1,-0.2
2020-12-01,-0.22,-0.1,-0.12
2021-01-01,-0.3,-0.15,-0.09
2021-03-01,0.1,0.2,0.2
2021-04-01,0.2,0.22,0.3
2021-06-01,0.4,0.435,0.45
2021-07-01,0.4,0.45,0.55
2021-09-01,0.3,0.25,0.25
2021-11-01,0.3,0.25,0.3
2021-12-01,0.32,0.27,0.27
2022-01-01,0.26,0.2,0.18
2022-03-01,0.1,0.04,-0.01
2022-05-01,-0.15,-0.18,-0.12
2022-06-01,-0.15,-0.2,-0.19
2022-07-01,-0.3,-0.4,-0.48
2022-09-01,-0.25,-0.35,-0.5
2022-11-01,-0.2,-0.25,-0.4
2022-12-01,-0.2,-0.25,-0.4
2023-02-01,-0.1,-0.14,-0.15
2023-03-01,-0.14,-0.18,-0.3
2023-05-01,0.1,0.04,-0.2
2023-06-01,0.1,0.05,-0.12
2023-07-01,0.1,0.05,-0.04
2023-09-01,0.18,0.1,-0.05
2023-11-01,0.15,0.1,-0.05
2023-12-01,-0.1,-0.08,-0.2
2024-01-01,0.3,0.2,0.05
2024-03-01,0.32,0.29,0.1
2024-05-01,0.2,0.1,-0.02
2024-06-01,0.3,0.27,0.14
2024-07-01,0.25,0.2,0.07
2024-09-01,0.3,0.4,0.24
2024-11-01,0.3,0.25,0.15
2024-12-01,0.3,0.32,0.22
2025-01-01,0.3,0.25,0.1
2025-03-01,0.22,0.25,0.16
2025-05-01,0.15,0.1,-0.05
2025-06-01,0.3,0.22,0.1
2025-07-01,-0.15,-0.08,-0.12
