prev_nfci,prev_anfci,next_nfci,next_anfci,statement_date
-0.505174743,-0.411624413,-0.507316289,-0.41128276,02/01/2017
-0.501227856,-0.426462797,-0.498900146,-0.426862103,03/15/2017
-0.524885185,-0.465727659,-0.534557743,-0.47574806,05/03/2017
-0.572560794,-0.526356246,-0.576233883,-0.53028488,06/14/2017
-0.589304434,-0.567624621,-0.589014615,-0.566789591,07/26/2017
-0.571757411,-0.505025078,-0.576230431,-0.515731672,09/20/2017
-0.607630831,-0.596066323,-0.611435855,-0.611833943,11/01/2017
-0.614995355,-0.631602094,-0.617292769,-0.633449847,12/13/2017
-0.614364406,-0.621071731,-0.600315853,-0.599708468,01/31/2018
-0.514065762,-0.495753428,-0.50658859,-0.48062909,03/21/2018
-0.54699504,-0.51930892,-0.559074414,-0.53298446,05/02/2018
-0.563564059,-0.538251563,-0.556999755,-0.533684539,06/13/2018
-0.571972472,-0.571743605,-0.58092385,-0.591286807,08/01/2018
-0.6059188,-0.635272966,-0.601451074,-0.637126048,09/26/2018
-0.543960542,-0.587150965,-0.527860592,-0.578476405,11/08/2018
-0.435183733,-0.455519633,-0.429461734,-0.445458155,12/19/2018
-0.513914929,-0.523735938,-0.53722061,-0.538939467,01/30/2019
-0.60385829,-0.601306843,-0.607890763,-0.597740479,03/20/2019
-0.619640843,-0.622802793,-0.615803391,-0.620216635,05/01/2019
-0.575206427,-0.590509071,-0.575448887,-0.589388584,06/19/2019
-0.581378361,-0.599680833,-0.573309664,-0.591984021,07/31/2019
-0.518270917,-0.565922444,-0.514084967,-0.572280059,09/18/2019
-0.552972622,-0.580506965,-0.565463368,-0.60506185,10/30/2019
-0.567344859,-0.562239973,-0.559585883,-0.548749074,12/11/2019
-0.628639254,-0.607551336,-0.626600364,-0.618717872,01/29/2020
0.041452535,0.069039259,0.190544816,0.285396402,03/15/2020
0.164377405,0.228293762,0.064698007,0.123103101,04/29/2020
-0.318447337,-0.414402994,-0.347649039,-0.46562206,06/10/2020
-0.463538876,-0.546460128,-0.481777064,-0.571691465,07/29/2020
-0.50813348,-0.69910418,-0.504029612,-0.715140583,09/16/2020
-0.511684495,-0.54370726,-0.525642288,-0.543227901,11/05/2020
-0.597671584,-0.53057039,-0.604973,-0.536031447,12/16/2020
-0.625527853,-0.549537412,-0.625672307,-0.552491884,01/27/2021
-0.641160602,-0.588144086,-0.646502965,-0.585687775,03/17/2021
-0.682072165,-0.5885676,-0.687453314,-0.586357892,04/28/2021
-0.699224074,-0.61580259,-0.696118757,-0.614799315,06/16/2021
-0.666016332,-0.615836894,-0.66063088,-0.612385499,07/28/2021
-0.657800251,-0.662616763,-0.658907887,-0.662488878,09/22/2021
-0.62632724,-0.623593204,-0.608242061,-0.60274392,11/03/2021
-0.540024086,-0.502310947,-0.542737562,-0.516799751,12/15/2021
-0.557751043,-0.535924668,-0.543155696,-0.522910776,01/26/2022
-0.387311479,-0.275536882,-0.375239836,-0.258106454,03/16/2022
-0.331797268,-0.215050892,-0.313664939,-0.179669888,05/04/2022
-0.204762597,-0.086344148,-0.179924659,-0.048589618,06/15/2022
-0.194145017,-0.164852418,-0.21305135,-0.205151814,07/27/2022
-0.142004772,-0.167942313,-0.11584127,-0.130542982,09/21/2022
-0.120463645,-0.116703956,-0.139569519,-0.150539438,11/02/2022
-0.186335126,-0.191661474,-0.192309924,-0.203662244,12/14/2022
-0.306579769,-0.300448029,-0.314350356,-0.309254874,02/01/2023
-0.172337517,-0.13066162,-0.153333936,-0.112675517,03/22/2023
-0.191599299,-0.22314776,-0.200310513,-0.232020078,05/03/2023
-0.217378547,-0.242565786,-0.21960356,-0.237088114,06/14/2023
-0.266662877,-0.271077073,-0.282288986,-0.284457548,07/26/2023
-0.336284151,-0.287101653,-0.326935527,-0.281590387,09/20/2023
-0.285161029,-0.275345104,-0.290176549,-0.295984592,11/01/2023
-0.342543263,-0.371524152,-0.351784513,-0.379923322,12/13/2023
-0.39937669,-0.428160269,-0.406279047,-0.4339384,01/31/2024
-0.441430897,-0.485375054,-0.439390834,-0.48464803,03/20/2024
-0.415010837,-0.434077497,-0.414952716,-0.430704484,05/01/2024
-0.406658772,-0.402353549,-0.399311873,-0.389534886,06/12/2024
-0.365905608,-0.364958591,-0.363535844,-0.364080647,07/31/2024
-0.416724465,-0.456603851,-0.425046565,-0.466161746,09/18/2024
-0.453596878,-0.507874223,-0.46181325,-0.515915746,11/07/2024
-0.482509462,-0.518265217,-0.483553073,-0.514835035,12/18/2024
-0.508676544,-0.526130321,-0.511542314,-0.521236114,01/29/2025
-0.446825068,-0.454725886,-0.428517535,-0.44475664,03/19/2025
-0.404841017,-0.4334718,-0.422630087,-0.45499902,05/07/2025
-0.482394883,-0.479211879,-0.489076632,-0.480150855,06/18/2025
-0.532018419,-0.507133383,-0.539083034,-0.512018858,07/30/2025
