Prev_CPI_Value,Next_CPI_Value,FOMC_date,diff
241.432,243.603,2017-02-01,-2.171
243.603,243.801,2017-03-15,-0.198
243.801,244.733,2017-05-03,-0.932
244.733,244.955,2017-06-14,-0.222
244.955,244.786,2017-07-26,0.169
245.519,246.819,2017-09-20,-1.3
246.819,246.669,2017-11-01,0.15
246.669,246.524,2017-12-13,0.145
246.524,247.867,2018-01-31,-1.343
248.991,249.554,2018-03-21,-0.563
249.554,251.588,2018-05-02,-2.034
251.588,251.989,2018-06-13,-0.401
251.989,252.146,2018-08-01,-0.157
252.146,252.439,2018-09-26,-0.293
252.439,252.038,2018-11-08,0.401
252.038,251.233,2018-12-19,0.805
251.233,251.712,2019-01-30,-0.479
252.776,254.202,2019-03-20,-1.426
254.202,256.092,2019-05-01,-1.89
256.092,256.143,2019-06-19,-0.051
256.143,256.571,2019-07-31,-0.428
256.558,256.759,2019-09-18,-0.201
256.759,257.346,2019-10-30,-0.587
257.208,256.974,2019-12-11,0.234
256.974,257.971,2020-01-29,-0.997
257.971,258.115,2020-03-03,-0.144
258.678,258.115,2020-03-15,0.563
258.115,256.389,2020-04-29,1.726
256.394,257.797,2020-06-10,-1.403
257.797,259.101,2020-07-29,-1.304
259.918,260.28,2020-09-16,-0.362
260.28,260.229,2020-11-05,0.051
260.229,260.474,2020-12-16,-0.245
260.474,261.582,2021-01-27,-1.108
263.014,264.877,2021-03-17,-1.863
264.877,267.054,2021-04-28,-2.177
269.195,271.696,2021-06-16,-2.501
271.696,273.003,2021-07-28,-1.307
273.567,274.31,2021-09-22,-0.743
274.31,277.948,2021-11-03,-3.638
277.948,278.802,2021-12-15,-0.854
278.802,281.148,2022-01-26,-2.346
283.716,287.504,2022-03-16,-3.788
287.504,292.296,2022-05-04,-4.792
292.296,296.311,2022-06-15,-4.015
296.311,296.276,2022-07-27,0.035
296.171,296.808,2022-09-21,-0.637
296.808,297.711,2022-11-02,-0.903
297.711,296.797,2022-12-14,0.914
296.797,300.84,2023-02-01,-4.043
300.84,301.836,2023-03-22,-0.996
301.836,304.127,2023-05-03,-2.291
304.127,305.109,2023-06-14,-0.982
305.109,305.691,2023-07-26,-0.582
307.026,307.789,2023-09-20,-0.763
307.789,307.051,2023-11-01,0.738
307.051,306.746,2023-12-13,0.305
306.746,308.417,2024-01-31,-1.671
310.326,312.332,2024-03-20,-2.006
312.332,314.069,2024-05-01,-1.737
314.069,314.175,2024-06-12,-0.106
314.175,314.54,2024-07-31,-0.365
314.796,315.301,2024-09-18,-0.505
315.301,315.493,2024-11-07,-0.192
315.493,315.605,2024-12-18,-0.112
315.605,317.671,2025-01-29,-2.066
319.082,319.799,2025-03-19,-0.717
319.799,320.795,2025-04-30,-0.996
319.799,320.795,2025-05-30,-0.996
321.465,322.561,2025-06-18,-1.096
322.561,323.048,2025-07-30,-0.487
