Prev_CPI_Value,Next_CPI_Value,Next_2Month_CPI,Next_3Month_CPI,Next_4Month_CPI,Next_5Month_CPI,FOMC_date,diff,1_diff,2_diff,3_diff,4_diff,5_diff
242.637,243.892,244.193,244.004,244.163,244.243,2017-02-01,1.255,1.255,1.556,1.367,1.526,1.606
244.006,244.193,244.004,244.163,244.243,245.183,2017-03-15,0.187,0.187,-0.002,0.157,0.237,1.177
243.892,244.163,244.243,245.183,246.435,246.626,2017-05-03,0.271,0.271,0.351,1.291,2.543,2.734
244.004,244.243,245.183,246.435,246.626,247.284,2017-06-14,0.239,0.239,1.179,2.431,2.622,3.28
244.163,245.183,246.435,246.626,247.284,247.805,2017-07-26,1.02,1.02,2.272,2.463,3.121,3.642
245.183,246.626,247.284,247.805,248.859,249.529,2017-09-20,1.443,1.443,2.101,2.622,3.676,4.346
246.435,247.805,248.859,249.529,249.577,250.227,2017-11-01,1.37,1.37,2.424,3.094,3.142,3.792
247.284,248.859,249.529,249.577,250.227,250.792,2017-12-13,1.575,1.575,2.245,2.293,2.943,3.508
247.805,249.529,249.577,250.227,250.792,251.018,2018-01-31,1.724,1.724,1.772,2.422,2.987,3.213
249.529,250.227,250.792,251.018,251.214,251.663,2018-03-21,0.698,0.698,1.263,1.489,1.685,2.134
249.577,251.018,251.214,251.663,252.182,252.772,2018-05-02,1.441,1.441,1.637,2.086,2.605,3.195
250.792,251.214,251.663,252.182,252.772,252.594,2018-06-13,0.422,0.422,0.871,1.39,1.98,1.802
251.018,252.182,252.772,252.594,252.767,252.561,2018-08-01,1.164,1.164,1.754,1.576,1.749,1.543
251.663,252.772,252.594,252.767,252.561,253.319,2018-09-26,1.109,1.109,0.931,1.104,0.898,1.656
252.182,252.767,252.561,253.319,254.277,255.233,2018-11-08,0.585,0.585,0.379,1.137,2.095,3.051
252.594,252.561,253.319,254.277,255.233,255.296,2018-12-19,-0.033,-0.033,0.725,1.683,2.639,2.702
252.767,253.319,254.277,255.233,255.296,255.213,2019-01-30,0.552,0.552,1.51,2.466,2.529,2.446
253.319,255.233,255.296,255.213,255.802,256.036,2019-03-20,1.914,1.914,1.977,1.894,2.483,2.717
254.277,255.213,255.802,256.036,256.43,257.155,2019-05-01,0.936,0.936,1.525,1.759,2.153,2.878
255.296,255.802,256.036,256.43,257.155,257.879,2019-06-19,0.506,0.506,0.74,1.134,1.859,2.583
255.213,256.036,256.43,257.155,257.879,258.63,2019-07-31,0.823,0.823,1.217,1.942,2.666,3.417
256.036,257.155,257.879,258.63,259.127,259.25,2019-09-18,1.119,1.119,1.843,2.594,3.091,3.214
256.43,257.879,258.63,259.127,259.25,258.076,2019-10-30,1.449,1.449,2.2,2.697,2.82,1.646
257.879,259.127,259.25,258.076,256.032,255.802,2019-12-11,1.248,1.248,1.371,0.197,-1.847,-2.077
258.63,259.25,258.076,256.032,255.802,257.042,2020-01-29,0.62,0.62,-0.554,-2.598,-2.828,-1.588
259.127,256.032,255.802,257.042,258.352,259.316,2020-03-03,-3.095,-3.095,-3.325,-2.085,-0.775,0.189
259.25,256.032,255.802,257.042,258.352,259.316,2020-03-15,-3.218,-3.218,-3.448,-2.208,-0.898,0.066
258.076,255.802,257.042,258.352,259.316,259.997,2020-04-29,-2.274,-2.274,-1.034,0.276,1.24,1.921
255.802,258.352,259.316,259.997,260.319,260.911,2020-06-10,2.55,2.55,3.514,4.195,4.517,5.109
257.042,259.316,259.997,260.319,260.911,262.045,2020-07-29,2.274,2.274,2.955,3.277,3.869,5.003
259.316,260.319,260.911,262.045,262.639,263.573,2020-09-16,1.003,1.003,1.595,2.729,3.323,4.257
259.997,262.045,262.639,263.573,264.847,266.625,2020-11-05,2.048,2.048,2.642,3.576,4.85,6.628
260.911,262.639,263.573,264.847,266.625,268.404,2020-12-16,1.728,1.728,2.662,3.936,5.714,7.493
262.045,263.573,264.847,266.625,268.404,270.71,2021-01-27,1.528,1.528,2.802,4.58,6.359,8.665
263.573,266.625,268.404,270.71,271.965,272.752,2021-03-17,3.052,3.052,4.831,7.137,8.392,9.179
264.847,268.404,270.71,271.965,272.752,273.942,2021-04-28,3.557,3.557,5.863,7.118,7.905,9.095
268.404,271.965,272.752,273.942,276.528,278.824,2021-06-16,3.561,3.561,4.348,5.538,8.124,10.42
270.71,272.752,273.942,276.528,278.824,280.806,2021-07-28,2.042,2.042,3.232,5.818,8.114,10.096
272.752,276.528,278.824,280.806,282.542,284.525,2021-09-22,3.776,3.776,6.072,8.054,9.79,11.773
273.942,280.806,282.542,284.525,287.467,288.582,2021-11-03,6.864,6.864,8.6,10.583,13.525,14.64
278.824,282.542,284.525,287.467,288.582,291.299,2021-12-15,3.718,3.718,5.701,8.643,9.758,12.475
280.806,284.525,287.467,288.582,291.299,295.072,2022-01-26,3.719,3.719,6.661,7.776,10.493,14.266
284.525,288.582,291.299,295.072,294.94,295.162,2022-03-16,4.057,4.057,6.774,10.547,10.415,10.637
287.467,295.072,294.94,295.162,296.421,297.979,2022-05-04,7.605,7.605,7.473,7.695,8.954,10.512
291.299,294.94,295.162,296.421,297.979,298.708,2022-06-15,3.641,3.641,3.863,5.122,6.68,7.409
295.072,295.162,296.421,297.979,298.708,298.808,2022-07-27,0.09,0.09,1.349,2.907,3.636,3.736
295.162,297.979,298.708,298.808,300.456,301.476,2022-09-21,2.817,2.817,3.546,3.646,5.294,6.314
296.421,298.808,300.456,301.476,301.643,302.858,2022-11-02,2.387,2.387,4.035,5.055,5.222,6.437
298.708,300.456,301.476,301.643,302.858,303.316,2022-12-14,1.748,1.748,2.768,2.935,4.15,4.608
298.808,301.643,302.858,303.316,304.099,304.615,2023-02-01,2.835,2.835,4.05,4.508,5.291,5.807
301.476,302.858,303.316,304.099,304.615,306.138,2023-03-22,1.382,1.382,1.84,2.623,3.139,4.662
302.858,304.099,304.615,306.138,307.374,307.653,2023-05-03,1.241,1.241,1.757,3.28,4.516,4.795
303.316,304.615,306.138,307.374,307.653,308.087,2023-06-14,1.299,1.299,2.822,4.058,4.337,4.771
304.099,306.138,307.374,307.653,308.087,308.735,2023-07-26,2.039,2.039,3.275,3.554,3.988,4.636
306.138,307.653,308.087,308.735,309.794,311.022,2023-09-20,1.515,1.515,1.949,2.597,3.656,4.884
307.653,308.735,309.794,311.022,312.107,313.016,2023-11-01,1.082,1.082,2.141,3.369,4.454,5.363
308.087,309.794,311.022,312.107,313.016,313.14,2023-12-13,1.707,1.707,2.935,4.02,4.929,5.053
308.735,311.022,312.107,313.016,313.14,313.131,2024-01-31,2.287,2.287,3.372,4.281,4.405,4.396
311.022,313.016,313.14,313.131,313.566,314.131,2024-03-20,1.994,1.994,2.118,2.109,2.544,3.109
313.016,313.131,313.566,314.131,314.851,315.564,2024-05-01,0.115,0.115,0.55,1.115,1.835,2.548
313.14,313.566,314.131,314.851,315.564,316.449,2024-06-12,0.426,0.426,0.991,1.711,2.424,3.309
313.131,314.131,314.851,315.564,316.449,317.603,2024-07-31,1,1,1.72,2.433,3.318,4.472
314.131,315.564,316.449,317.603,319.086,319.775,2024-09-18,1.433,1.433,2.318,3.472,4.955,5.644
315.564,317.603,319.086,319.775,319.615,320.321,2024-11-07,2.039,2.039,3.522,4.211,4.051,4.757
316.449,319.086,319.775,319.615,320.321,320.58,2024-12-18,2.637,2.637,3.326,3.166,3.872,4.131
317.603,319.775,319.615,320.321,320.58,321.5,2025-01-29,2.172,2.172,2.012,2.718,2.977,3.897
319.775,320.321,320.58,321.5,322.132,323.364,2025-03-19,0.546,0.546,0.805,1.725,2.357,3.589
319.615,320.58,321.5,322.132,323.364,324.368,2025-04-30,0.965,0.965,1.885,2.517,3.749,4.753
320.321,321.5,322.132,323.364,324.368,324.6995,2025-05-30,1.179,1.179,1.811,3.043,4.047,4.3785
320.58,322.132,323.364,324.368,324.6995,325.031,2025-06-18,1.552,1.552,2.784,3.788,4.1195,4.451
321.5,323.364,324.368,324.6995,325.031,,2025-07-30,1.864,1.864,2.868,3.1995,3.531,
