corr,FOMC_date
0.342186235,201702~
0.347813769,201703~
0.93728788,201705~
0.946528371,201706~
0.832391014,201707~
0.819762444,201709~
0.958735246,201711~
0.942529269,201712~
0.003985139,201801~
0.045917595,201803~
0.925742519,201805~
0.924089098,201806~
0.999999932,201808~
0.919793779,201809~
0.957563777,201811~
0.967758187,201812~
0.876216995,201901~
0.96949322,201903~
0.86652181,201905~
0.991156091,201906~
0.978333431,201907~
0.997749989,201909~
0.891052821,201910~
0.88110239,201912~
0.552950428,202001~
0.652078154,202003~
0.410739854,202003~
0.100329301,202004~
1,202006~
0.441455777,202007~
0.863255607,202009~
0.863255607,202011~
0.999999735,202012~
0.670696172,202101~
0.545068535,202103~
0.267915528,202104~
0.39949146,202106~
0.96754937,202107~
0.919741652,202109~
0.917842006,202111~
0.6112031,202112~
-0.237586213,202201~
-0.115342167,202203~
0.651835089,202205~
0.607369023,202206~
0.513271481,202207~
0.645765102,202209~
1,202211~
0.922504422,202212~
0.106866998,202302~
0.135322008,202303~
0.578890644,202305~
0.341154812,202306~
0.85970078,202307~
0.632052953,202309~
-0.057907911,202311~
0.203874334,202312~
0.966491594,202401~
0.207287425,202403~
1,202405~
1,202406~
0.406536738,202407~
0.406536738,202409~
1,202411~
0.982192728,202412~
0.147732072,202501~
0.111247391,202503~
0.678013933,202505~
0.98662814,202506~
