date,Statement,Theory,FSR,SLOOS,Policy,lg
2017-02,0.3,0.32,0.29,0.235,0.25,0.3
2017-03,0.42,0.445,0.41,0.35,0.33,0.4
2017-05,0.35,0.325,0.295,0.255,0.22,0.35
2017-06,0.43,0.35,0.32,0.3,0.295,0.3
2017-07,0.36,0.325,0.285,0.22,0.285,0.2
2017-09,0.4,0.35,0.305,0.24,0.205,0.3
2017-11,0.4,0.41,0.39,0.315,0.335,0.25
2017-12,0.55,0.5,0.45,0.385,0.435,0.3
2018-01,0.64,0.6,0.55,0.545,0.52,0.4
2018-03,0.45,0.525,0.485,0.52,0.57,0.4
2018-05,0.45,0.46,0.415,0.425,0.425,0.3
2018-06,0.74,0.7,0.64,0.59,0.59,0.5
2018-08,0.75,0.73,0.67,0.62,0.61,0.45
2018-09,0.84,0.7,0.64,0.675,0.715,0.6
2018-11,0.7,0.665,0.6,0.52,0.48,0.45
2018-12,0.7,0.585,0.525,0.41,0.46,0.4
2019-01,0.45,0.41,0.375,0.275,0.185,0.3
2019-03,0.2,0.155,0.11,0.03,-0.005,-0.1
2019-05,0.3,0.265,0.22,0.12,0.075,0.15
2019-06,0.2,0.11,0.075,0.04,0.035,0.25
2019-07,0.25,0.2,0.18,0.11,0.1,0.1
2019-09,0.24,0.15,0.1,0.05,0.065,-0.4
2019-10,0.2,0.18,0.14,0.06,0.04,-0.3
2019-12,0.3,0.245,0.18,0.11,0.11,0.1
2020-01,0.3,0.2,0.15,0.05,0.035,0.1
2020-03,-0.4,-0.1,-0.15,-0.245,-0.255,-0.6
2020-04,-0.82,-0.51,-0.5,-0.595,-0.65,-0.45
2020-06,-0.62,-0.41,-0.455,-0.55,-0.635,-0.3
2020-07,-0.4,-0.25,-0.3,-0.39,-0.3,-0.4
2020-09,-0.3,-0.135,-0.19,-0.25,-0.2,-0.3
2020-11,-0.3,-0.12,-0.155,-0.22,-0.135,0.2
2020-12,-0.3,-0.11,-0.12,-0.16,-0.21,-0.3
2021-01,-0.3,-0.15,-0.12,-0.055,-0.04,-0.2
2021-03,0.1,0.18,0.145,0.2,0.265,0.3
2021-04,0.22,0.35,0.28,0.34,0.41,0.3
2021-06,0.44,0.425,0.35,0.41,0.465,0.35
2021-07,0.45,0.405,0.335,0.47,0.55,0.3
2021-09,0.35,0.295,0.22,0.33,0.27,0.45
2021-11,0.35,0.28,0.22,0.275,0.235,0.25
2021-12,0.35,0.275,0.175,0.265,0.245,0.2
2022-01,0.3,0.21,0.12,0.175,0.135,0.3
2022-03,0.1,0.055,0,0.035,0.04,-0.3
2022-05,-0.12,-0.155,-0.21,-0.135,-0.1,-0.3
2022-06,-0.12,-0.13,-0.19,-0.1,-0.12,-0.45
2022-07,-0.32,-0.25,-0.3,-0.4,-0.525,-0.35
2022-09,-0.23,-0.22,-0.265,-0.35,-0.375,-0.4
2022-11,-0.25,-0.165,-0.225,-0.375,-0.425,-0.5
2022-12,-0.15,-0.225,-0.25,-0.35,-0.425,-0.45
2023-02,-0.15,-0.11,-0.105,-0.09,-0.055,-0.25
2023-03,-0.1,-0.18,-0.245,-0.35,-0.4,-0.35
2023-05,0.1,-0.05,-0.12,-0.22,-0.285,-0.3
2023-06,0.15,0.05,-0.025,-0.12,-0.12,0.15
2023-07,0.12,0.065,0,-0.08,-0.045,0.15
2023-09,0.2,0.11,0.05,-0.05,-0.1,0.1
2023-11,0.2,0.1,0.05,-0.05,-0.12,0.2
2023-12,-0.1,-0.075,-0.1,-0.18,-0.22,-0.4
2024-01,0.25,0.175,0.11,0.035,0.02,0.15
2024-03,0.35,0.345,0.265,0.16,0.225,0.15
2024-05,0.25,0.135,0.055,-0.035,0.03,0.25
2024-06,0.35,0.25,0.2,0.1,0.05,0.3
2024-07,0.25,0.2,0.15,0.08,0.055,0.2
2024-09,0.32,0.4,0.33,0.265,0.21,0.1
2024-11,0.35,0.345,0.3,0.215,0.15,0.15
2024-12,0.3,0.31,0.27,0.22,0.2,0.25
2025-01,0.34,0.27,0.22,0.13,0.085,0.15
2025-03,0.3,0.2,0.12,0.08,0.055,0
2025-04,0.15,0.09,0.04,-0.05,-0.1,0.1
2025-06,0.3,0.2,0.135,0.05,0.03,0.2
2025-07,-0.1,-0.055,-0.045,-0.065,-0.1,-0.3
