date,statement,Theory,FSR,SLOOS,Policy
2017-02,0,0,0,0,0
2017-03,0,0,0,0,0
2017-05,1,0,0,1,0
2017-06,0,1,0,0,0
2017-07,0,0,1,0,1
2017-09,1,1,0,1,0
2017-11,0,0,1,0,1
2017-12,1,1,1,1,1
2018-01,1,1,1,0,0
2018-03,0,0,1,1,1
2018-05,1,1,1,1,1
2018-06,1,1,1,0,1
2018-08,0,1,1,1,0
2018-09,1,0,1,1,1
2018-11,1,0,0,1,0
2018-12,0,1,0,0,0
2019-01,0,0,1,0,1
2019-03,1,0,0,1,0
2019-05,0,1,0,0,0
2019-06,0,0,1,0,1
2019-07,1,0,0,1,0
2019-09,0,0,1,1,0
2019-10,1,1,1,0,1
2019-12,1,1,0,1,1
2020-01,0,0,1,1,0
2020-03,1,1,1,0,1
2020-03,1,0,0,1,0
2020-04,0,1,0,0,1
2020-06,0,0,0,0,0
2020-07,1,0,1,0,0
2020-09,0,0,0,1,0
2020-11,0,1,0,0,1
2020-12,1,0,0,0,0
2021-01,0,0,1,0,0
2021-03,0,0,0,1,0
2021-04,1,1,0,0,1
2021-06,0,1,1,0,1
2021-07,1,0,1,1,0
2021-09,1,1,1,1,1
2021-11,0,1,0,0,1
2021-12,1,1,1,1,0
2022-01,1,0,0,1,0
2022-03,0,0,0,0,0
2022-05,0,1,0,0,1
2022-06,1,0,1,0,0
2022-07,0,0,0,1,0
2022-09,0,0,0,0,1
2022-11,1,0,0,0,0
2022-12,0,1,0,1,0
2023-02,1,1,1,1,1
2023-03,1,0,1,0,0
2023-05,0,1,0,1,1
2023-06,1,1,1,1,0
2023-07,1,0,1,0,0
2023-09,0,0,0,0,1
2023-11,0,0,0,0,0
2023-12,1,1,0,1,0
2024-01,0,0,1,0,0
2024-03,0,0,0,0,1
2024-05,1,0,0,1,0
2024-06,0,1,0,0,0
2024-07,0,1,1,0,1
2024-09,1,0,1,1,1
2024-11,0,1,0,1,1
2024-12,1,1,1,1,0
2025-01,1,1,1,0,1
2025-03,0,0,1,1,0
2025-05,1,1,0,1,1
2025-06,1,1,1,1,1
2025-07,0,1,1,0,0
