index,Statment,Papers,FSR,SLOOS,beigebook
1,0.15,0.1,0.05,0.03,0.02
2,0.2,0.15,0.1,0.05,0.1
3,0.2,0.15,0.1,0.05,0.1
4,0.25,0.2,0.15,0.1,0.05
5,0.2,0.15,0.1,0.05,0.1
6,0.2,0.15,0.1,0.05,0.1
7,0.1,0.15,0.2,0.15,0.1
8,0.3,0.25,0.15,0.1,0.15
9,0.2,0.15,0.1,0.05,0.03
10,0.3,0.35,0.4,0.35,0.3
11,0.15,0.1,0.12,0.1,0.05
12,0.2,0.15,0.1,0.15,0.1
13,0.15,0.1,0.05,0.05,0.05
14,0.25,0.15,0.1,0.05,0.02
15,0.2,0.15,0.1,0.05,0.1
16,0.15,0.1,0.05,0.1,0.05
17,0.2,0.25,0.3,0.25,0.2
18,0.1,0.05,0.05,0.05,0.05
19,0.2,0.15,0.1,0.05,0.1
20,0.3,0.35,0.3,0.25,0.2
21,0.2,0.15,0.1,0.05,0.1
22,0.2,0.15,0.1,0.08,0.05
23,0.25,0.2,0.15,0.1,0.05
24,0.2,0.15,0.1,0.15,0.1
25,0.3,0.25,0.2,0.15,0.1
26,0.25,0.2,0.25,0.2,0.25
27,0.3,0.25,0.3,0.2,0.3
28,0.25,0.3,0.25,0.2,0.15
29,0.1,0.08,0.05,0.02,0.01
30,0.2,0.15,0.1,0.05,0.1
