Statment,Papers,FSR,SLOOS,beigebook,,
0.23,0.19,0.15,0.1,0.06,,0.027302057
0.24,0.2,0.15,0.08,0.05,,
0.2,0.15,0.1,0.05,0.03,,
0.2,0.22,0.18,0.12,0.08,,
0.28,0.24,0.2,0.1,0.07,,
0.25,0.2,0.12,0.07,0.06,,
0.23,0.19,0.15,0.1,0.07,,
0.22,0.3,0.25,0.15,0.1,,
0.22,0.24,0.2,0.12,0.08,,
0.23,0.18,0.12,0.03,0.01,,
0.18,0.15,0.12,0.07,0.06,,
0.22,0.18,0.12,0.07,0.05,,
0.2,0.15,0.1,0.05,0.02,,
0.3,0.25,0.2,0.1,0.05,,
0.23,0.3,0.22,0.16,0.12,,
0.3,0.28,0.22,0.15,0.1,,
0.22,0.25,0.15,0.05,0.04,,
0.3,0.28,0.22,0.12,0.08,,
0.22,0.2,0.15,0.1,0.05,,
0.28,0.25,0.15,0.08,0.05,,
0.2,0.18,0.12,0.08,0.05,,
0.22,0.2,0.12,0.08,0.05,,
0.25,0.2,0.12,0.06,0.06,,
0.3,0.25,0.2,0.1,0.06,,
0.25,0.2,0.15,0.05,0.02,,
0.25,0.3,0.25,0.15,0.1,,
0.25,0.2,0.15,0.08,0.05,,
0.2,0.25,0.18,0.12,0.1,,
0.2,0.21,0.16,0.05,0.03,,
0.24,0.27,0.22,0.15,0.1,,
