Statment,Papers,FSR,SLOOS,beigebook,index,,,
0.25,0.3,0.25,0.3,0.35,1,,0.2,median
0.25,0.2,0.15,0.1,0.05,2,,0.042750277,std
0.25,0.2,0.25,0.2,0.15,3,,0.22,mean
0.2,0.15,0.1,0.05,0.03,4,,,
0.15,0.1,0.15,0.1,0.1,5,,,
0.25,0.2,0.15,0.1,0.05,6,,,
0.2,0.15,0.1,0.15,0.1,7,,,
0.2,0.15,0.1,0.15,0.1,8,,,
0.25,0.2,0.15,0.1,0.05,9,,,
0.25,0.2,0.15,0.1,0.05,10,,,
0.2,0.15,0.1,0.15,0.1,11,,,
0.2,0.15,0.1,0.05,0.1,12,,,
0.3,0.25,0.2,0.15,0.1,13,,,
0.25,0.15,0.1,0.05,0.03,14,,,
0.25,0.2,0.25,0.2,0.15,15,,,
0.25,0.3,0.25,0.2,0.15,16,,,
0.2,0.15,0.1,0.05,0.1,17,,,
0.2,0.15,0.2,0.15,0.1,18,,,
0.1,0.05,0.03,0.02,0.05,19,,,
0.25,0.2,0.15,0.1,0.05,20,,,
0.25,0.2,0.15,0.1,0.05,21,,,
0.2,0.25,0.3,0.25,0.2,22,,,
0.3,0.25,0.2,0.15,0.1,23,,,
0.2,0.15,0.1,0.05,0.05,24,,,
0.2,0.25,0.3,0.25,0.2,25,,,
0.15,0.1,0.05,0.05,0.1,26,,,
0.2,0.25,0.3,0.25,0.2,27,,,
0.25,0.15,0.1,0.05,0.1,28,,,
0.2,0.25,0.2,0.15,0.1,29,,,
0.2,0.15,0.1,0.15,0.15,30,,,
