Statment,Papers,FSR,SLOOS,beigebook,,,,
0.22,0.26,0.2,0.12,0.08,,,,
0.25,0.2,0.15,0.05,0.03,,,,
0.27,0.32,0.24,0.16,0.1,,,,
0.22,,0.22,0.12,0.08,,,,
0.2,0.18,0.14,0.08,0.06,,,,
0.25,0.2,0.1,0.06,0.04,,,,
0.24,0.2,0.15,0.1,0.05,,,,0.021373305
0.2,0.22,0.12,0.08,0.05,,,,
0.22,0.2,0.12,0.06,0.02,,,,
0.25,0.3,0.25,0.15,0.1,,,,
0.23,0.21,0.15,0.05,0.02,,,,
0.24,0.2,0.15,0.05,0.03,,,,
0.25,0.2,0.12,0.06,0.04,,,,
0.2,0.15,0.1,0.05,0.03,,,,
0.18,0.15,0.1,0.06,0.04,,,,
0.2,0.3,0.25,0.1,0.08,,,,
0.26,0.28,0.22,0.12,0.09,,,,
0.2,0.15,0.08,0,-0.1,,,,
0.25,0.2,0.15,0.05,0.02,,,,
0.2,0.25,0.2,0.1,0.05,,,,
0.16,0.19,0.12,0.02,0.01,,,,
0.2,0.15,0.1,0.05,0.02,,,,
0.18,0.16,0.12,0.08,0.05,,,,
0.24,0.3,0.28,0.26,0.25,,,,
0.22,0.18,0.15,0.05,0.04,,,,
0.3,0.25,0.2,0.1,0.06,,,,
0.3,0.32,0.28,0.18,0.12,,,,
0.25,0.2,0.15,0.1,0.06,,,,
0.23,0.3,0.22,0.18,0.12,,,,
0.25,0.22,0.18,0.1,0.06,,,,
