date,llm_ST
Feb-17,0.3
Mar-17,0.42
May-17,0.35
Jun-17,0.43
Jul-17,0.36
Sep-17,0.4
Nov-17,0.4
Dec-17,0.55
Jan-18,0.64
Mar-18,0.45
May-18,0.45
Jun-18,0.74
Aug-18,0.75
Sep-18,0.84
Nov-18,0.7
Dec-18,0.7
Jan-19,0.45
Mar-19,0.2
May-19,0.3
Jun-19,0.2
Jul-19,0.25
Sep-19,0.24
Oct-19,0.2
Dec-19,0.3
Jan-20,0.3
Mar-20,-0.18
Mar-20,-0.4
Apr-20,-0.82
Jun-20,-0.62
Jul-20,-0.4
Sep-20,-0.3
Nov-20,-0.3
Dec-20,-0.3
Jan-21,-0.3
Mar-21,0.1
Apr-21,0.22
Jun-21,0.44
Jul-21,0.45
Sep-21,0.35
Nov-21,0.35
Dec-21,0.35
Jan-22,0.3
Mar-22,0.1
May-22,-0.12
Jun-22,-0.12
Jul-22,-0.32
Sep-22,-0.23
Nov-22,-0.25
Dec-22,-0.15
Feb-23,-0.15
Mar-23,-0.1
May-23,0.1
Jun-23,0.15
Jul-23,0.12
Sep-23,0.2
Nov-23,0.2
Dec-23,-0.1
Jan-24,0.25
Mar-24,0.35
May-24,0.25
Jun-24,0.35
Jul-24,0.25
Sep-24,0.32
Nov-24,0.35
Dec-24,0.3
Jan-25,0.34
Mar-25,0.3
Apr-25,0.15
Jun-25,0.3
Jul-25,-0.1
