date,llm_ST
2017-02,0.3
2017-03,0.42
2017-05,0.35
2017-06,0.43
2017-07,0.36
2017-09,0.4
2017-11,0.4
2017-12,0.55
2018-01,0.64
2018-03,0.45
2018-05,0.45
2018-06,0.74
2018-08,0.75
2018-09,0.84
2018-11,0.7
2018-12,0.7
2019-01,0.45
2019-03,0.2
2019-05,0.3
2019-06,0.2
2019-07,0.25
2019-09,0.24
2019-10,0.2
2019-12,0.3
2020-01,0.3
2020-03,-0.18
2020-03,-0.4
2020-04,-0.82
2020-06,-0.62
2020-07,-0.4
2020-09,-0.3
2020-11,-0.3
2020-12,-0.3
2021-01,-0.3
2021-03,0.1
2021-04,0.22
2021-06,0.44
2021-07,0.45
2021-09,0.35
2021-11,0.35
2021-12,0.35
2022-01,0.3
2022-03,0.1
2022-05,-0.12
2022-06,-0.12
2022-07,-0.32
2022-09,-0.23
2022-11,-0.25
2022-12,-0.15
2023-02,-0.15
2023-03,-0.1
2023-05,0.1
2023-06,0.15
2023-07,0.12
2023-09,0.2
2023-11,0.2
2023-12,-0.1
2024-01,0.25
2024-03,0.35
2024-05,0.25
2024-06,0.35
2024-07,0.25
2024-09,0.32
2024-11,0.35
2024-12,0.3
2025-01,0.34
2025-03,0.3
2025-04,0.15
2025-06,0.3
2025-07,-0.1
