date,statment,Theory,FSR,SLOOS,Policy
2017-02,0.3,0.32,0.29,0.235,0.25
2017-03,0.4,0.445,0.41,0.35,0.33
2017-05,0.345,0.325,0.295,0.255,0.22
2017-06,0.4,0.35,0.32,0.3,0.295
2017-07,0.345,0.325,0.285,0.22,0.285
2017-09,0.39,0.35,0.305,0.24,0.205
2017-11,0.4,0.41,0.39,0.315,0.335
2017-12,0.5,0.5,0.45,0.385,0.435
2018-01,0.59,0.6,0.55,0.545,0.52
2018-03,0.45,0.525,0.485,0.52,0.57
2018-05,0.45,0.46,0.415,0.425,0.425
2018-06,0.715,0.7,0.64,0.59,0.59
2018-08,0.775,0.73,0.67,0.62,0.61
2018-09,0.765,0.7,0.64,0.675,0.715
2018-11,0.7,0.665,0.6,0.52,0.48
2018-12,0.65,0.585,0.525,0.41,0.46
2019-01,0.475,0.41,0.375,0.275,0.185
2019-03,0.15,0.155,0.11,0.03,-0.005
2019-05,0.27,0.265,0.22,0.12,0.075
2019-06,0.2,0.11,0.075,0.04,0.035
2019-07,0.23,0.2,0.18,0.11,0.1
2019-09,0.2,0.15,0.1,0.05,0.065
2019-10,0.2,0.18,0.14,0.06,0.04
2019-12,0.28,0.245,0.18,0.11,0.11
2020-01,0.25,0.2,0.15,0.05,0.035
2020-03,-0.18,-0.1,-0.15,-0.245,-0.255
2020-04,-0.74,-0.51,-0.5,-0.595,-0.65
2020-06,-0.66,-0.41,-0.455,-0.55,-0.635
2020-07,-0.4,-0.25,-0.3,-0.39,-0.3
2020-09,-0.23,-0.135,-0.19,-0.25,-0.2
2020-11,-0.24,-0.12,-0.155,-0.22,-0.135
2020-12,-0.26,-0.11,-0.12,-0.16,-0.21
2021-01,-0.3,-0.15,-0.12,-0.055,-0.04
2021-03,0.1,0.18,0.145,0.2,0.265
2021-04,0.25,0.35,0.28,0.34,0.41
2021-06,0.4,0.425,0.35,0.41,0.465
2021-07,0.38,0.405,0.335,0.47,0.55
2021-09,0.3,0.295,0.22,0.33,0.27
2021-11,0.3,0.28,0.22,0.275,0.235
2021-12,0.3,0.275,0.175,0.265,0.245
2022-01,0.3,0.21,0.12,0.175,0.135
2022-03,0.1,0.055,0,0.035,0.04
2022-05,-0.135,-0.155,-0.21,-0.135,-0.1
2022-06,-0.15,-0.13,-0.19,-0.1,-0.12
2022-07,-0.35,-0.25,-0.3,-0.4,-0.525
2022-09,-0.245,-0.22,-0.265,-0.35,-0.375
2022-11,-0.23,-0.165,-0.225,-0.375,-0.425
2022-12,-0.165,-0.225,-0.25,-0.35,-0.425
2023-02,-0.1,-0.11,-0.105,-0.09,-0.055
2023-03,-0.135,-0.18,-0.245,-0.35,-0.4
2023-05,0.09,-0.05,-0.12,-0.22,-0.285
2023-06,0.1,0.05,-0.025,-0.12,-0.12
2023-07,0.12,0.065,0,-0.08,-0.045
2023-09,0.18,0.11,0.05,-0.05,-0.1
2023-11,0.15,0.1,0.05,-0.05,-0.12
2023-12,-0.1,-0.075,-0.1,-0.18,-0.22
2024-01,0.24,0.175,0.11,0.035,0.02
2024-03,0.325,0.345,0.265,0.16,0.225
2024-05,0.2,0.135,0.055,-0.035,0.03
2024-06,0.345,0.25,0.2,0.1,0.05
2024-07,0.265,0.2,0.15,0.08,0.055
2024-09,0.3,0.4,0.33,0.265,0.21
2024-11,0.3,0.345,0.3,0.215,0.15
2024-12,0.32,0.31,0.27,0.22,0.2
2025-01,0.31,0.27,0.22,0.13,0.085
2025-03,0.25,0.2,0.12,0.08,0.055
2025-05,0.185,0.09,0.04,-0.05,-0.1
2025-06,0.265,0.2,0.135,0.05,0.03
2025-07,-0.12,-0.055,-0.045,-0.065,-0.1
