date,statment,Theory,FSR,SLOOS,Policy
2017-02,0.3,0.325,0.3,0.25,0.245
2017-03,0.4,0.45,0.42,0.38,0.35
2017-05,0.35,0.38,0.33,0.28,0.25
2017-06,0.37,0.35,0.32,0.3,0.33
2017-07,0.35,0.32,0.28,0.22,0.28
2017-09,0.38,0.35,0.3,0.24,0.2
2017-11,0.4,0.39,0.4,0.3,0.35
2017-12,0.5,0.54,0.5,0.4,0.45
2018-01,0.55,0.6,0.55,0.53,0.5
2018-03,0.46,0.47,0.41,0.45,0.55
2018-05,0.45,0.45,0.4,0.4,0.38
2018-06,0.73,0.68,0.62,0.58,0.55
2018-08,0.77,0.74,0.68,0.62,0.62
2018-09,0.78,0.7,0.62,0.66,0.7
2018-11,0.7,0.66,0.6,0.52,0.48
2018-12,0.7,0.58,0.53,0.41,0.47
2019-01,0.42,0.38,0.35,0.2,0.15
2019-03,0.15,0.12,0.08,0.02,-0.02
2019-05,0.24,0.26,0.22,0.12,0.07
2019-06,0.17,0.1,0.06,0.03,0.02
2019-07,0.22,0.24,0.19,0.12,0.08
2019-09,0.2,0.15,0.1,0.05,0.07
2019-10,0.2,0.18,0.14,0.06,0.04
2019-12,0.3,0.24,0.18,0.12,0.12
2020-01,0.25,0.2,0.15,0.05,0.03
2020-03,-0.2,-0.1,-0.14,-0.24,-0.22
2020-03,-0.2,-0.1,-0.15,-0.24,-0.26
2020-04,-0.74,-0.45,-0.45,-0.55,-0.62
2020-06,-0.68,-0.42,-0.5,-0.6,-0.65
2020-07,-0.4,-0.25,-0.3,-0.4,-0.3
2020-09,-0.24,-0.15,-0.2,-0.25,-0.2
2020-11,-0.23,-0.12,-0.15,-0.22,-0.15
2020-12,-0.35,-0.15,-0.15,-0.2,-0.25
2021-01,-0.3,-0.15,-0.15,-0.1,-0.08
2021-03,0.1,0.16,0.14,0.24,0.3
2021-04,0.25,0.35,0.3,0.35,0.4
2021-06,0.4,0.43,0.35,0.42,0.48
2021-07,0.4,0.45,0.35,0.5,0.55
2021-09,0.3,0.29,0.22,0.32,0.26
2021-11,0.3,0.27,0.22,0.28,0.3
2021-12,0.3,0.25,0.15,0.25,0.22
2022-01,0.28,0.2,0.12,0.14,0.11
2022-03,0.1,0.05,-0.02,0.01,0.04
2022-05,-0.15,-0.16,-0.22,-0.15,-0.1
2022-06,-0.14,-0.15,-0.2,-0.15,-0.12
2022-07,-0.35,-0.25,-0.3,-0.4,-0.55
2022-09,-0.2,-0.2,-0.25,-0.34,-0.4
2022-11,-0.22,-0.25,-0.3,-0.45,-0.5
2022-12,-0.2,-0.25,-0.3,-0.42,-0.5
2023-02,-0.1,-0.12,-0.11,-0.1,-0.06
2023-03,-0.12,-0.18,-0.25,-0.35,-0.35
2023-05,0.1,-0.05,-0.12,-0.22,-0.3
2023-06,0.12,0.07,0.02,-0.06,-0.1
2023-07,0.12,0.08,0.03,-0.1,-0.05
2023-09,0.2,0.1,0.05,-0.01,-0.05
2023-11,0.15,0.1,0.05,-0.05,-0.12
2023-12,-0.1,-0.07,-0.1,-0.18,-0.22
2024-01,0.24,0.15,0.1,0.02,0
2024-03,0.38,0.35,0.28,0.2,0.25
2024-05,0.2,0.15,0.05,-0.05,0.02
2024-06,0.3,0.24,0.18,0.06,0.02
2024-07,0.3,0.2,0.15,0.08,0.06
2024-09,0.3,0.34,0.3,0.22,0.18
2024-11,0.28,0.35,0.3,0.22,0.15
2024-12,0.3,0.27,0.26,0.2,0.18
2025-01,0.3,0.25,0.2,0.11,0.07
2025-03,0.24,0.18,0.12,0.1,0.12
2025-05,0.2,0.1,0.05,-0.1,-0.15
2025-06,0.3,0.22,0.15,0.05,0.03
2025-07,-0.12,-0.06,-0.05,-0.06,-0.05
