date,statement,Theory,FSR,SLOOS,Policy
2017-02,0.32,0.31,0.28,0.22,0.26
2017-03,0.4,0.42,0.39,0.3,0.28
2017-05,0.34,0.31,0.28,0.24,0.2
2017-06,0.4,0.35,0.32,0.3,0.27
2017-07,0.32,0.38,0.34,0.26,0.3
2017-09,0.4,0.36,0.31,0.24,0.21
2017-11,0.4,0.42,0.38,0.33,0.32
2017-12,0.53,0.49,0.43,0.37,0.42
2018-01,0.6,0.62,0.57,0.58,0.56
2018-03,0.45,0.53,0.5,0.55,0.58
2018-05,0.45,0.47,0.43,0.45,0.45
2018-06,0.7,0.73,0.66,0.62,0.6
2018-08,0.78,0.72,0.66,0.62,0.6
2018-09,0.75,0.7,0.64,0.69,0.73
2018-11,0.7,0.67,0.6,0.52,0.48
2018-12,0.62,0.59,0.52,0.41,0.43
2019-01,0.5,0.45,0.42,0.3,0.25
2019-03,0.2,0.18,0.12,0.04,0.02
2019-05,0.28,0.27,0.22,0.25,0.15
2019-06,0.2,0.12,0.1,0.05,0.05
2019-07,0.24,0.18,0.18,0.1,0.1
2019-09,0.2,0.15,0.1,0.04,0.06
2019-10,0.2,0.15,0.1,0.06,0.04
2019-12,0.28,0.25,0.18,0.1,0.1
2020-01,0.25,0.28,0.2,0.12,0.1
2020-03,-0.2,-0.1,-0.15,-0.25,-0.25
2020-04,-0.74,-0.52,-0.52,-0.62,-0.68
2020-06,-0.65,-0.38,-0.45,-0.55,-0.62
2020-07,-0.4,-0.25,-0.3,-0.38,-0.34
2020-09,-0.22,-0.12,-0.18,-0.25,-0.2
2020-11,-0.25,-0.15,-0.16,-0.22,-0.12
2020-12,-0.2,-0.1,-0.12,-0.14,-0.18
2021-01,-0.3,-0.15,-0.12,-0.05,-0.02
2021-03,0.1,0.2,0.15,0.18,0.22
2021-04,0.2,0.35,0.28,0.34,0.42
2021-06,0.4,0.42,0.35,0.4,0.45
2021-07,0.36,0.4,0.33,0.45,0.55
2021-09,0.35,0.3,0.25,0.35,0.28
2021-11,0.3,0.28,0.22,0.27,0.22
2021-12,0.36,0.3,0.2,0.28,0.33
2022-01,0.32,0.22,0.12,0.18,0.15
2022-03,0.1,0.06,0.03,0.06,0.04
2022-05,-0.1,-0.15,-0.2,-0.12,-0.1
2022-06,-0.15,-0.1,-0.18,-0.1,-0.12
2022-07,-0.35,-0.25,-0.32,-0.4,-0.5
2022-09,-0.25,-0.28,-0.34,-0.45,-0.35
2022-11,-0.24,-0.15,-0.2,-0.3,-0.35
2022-12,-0.15,-0.22,-0.25,-0.25,-0.35
2023-02,-0.1,-0.09,-0.08,-0.08,-0.05
2023-03,-0.15,-0.18,-0.24,-0.35,-0.4
2023-05,0.08,-0.05,-0.12,-0.22,-0.26
2023-06,0.1,0.05,-0.03,-0.12,-0.12
2023-07,0.1,0.05,-0.03,-0.06,-0.03
2023-09,0.18,0.12,0.05,-0.05,-0.12
2023-11,0.15,0.12,0.05,-0.04,-0.12
2023-12,-0.1,-0.08,-0.1,-0.18,-0.22
2024-01,0.24,0.2,0.12,0.06,0.03
2024-03,0.3,0.28,0.2,0.12,0.2
2024-05,0.24,0.12,0.07,0.02,0.04
2024-06,0.36,0.32,0.25,0.15,0.08
2024-07,0.25,0.2,0.12,0.06,0.03
2024-09,0.3,0.45,0.38,0.3,0.25
2024-11,0.33,0.34,0.27,0.21,0.12
2024-12,0.35,0.35,0.3,0.28,0.24
2025-01,0.32,0.29,0.24,0.15,0.12
2025-03,0.25,0.2,0.12,0.06,0.02
2025-05,0.15,0.08,0.03,-0.05,-0.1
2025-06,0.24,0.18,0.12,0.05,0.03
2025-07,-0.12,-0.05,-0.04,-0.07,-0.1
