date,statment,Theory,FSR,SLOOS,Policy
2017-02,0.33,0.32,0.32,0.29,0.24
2017-03,0.4,0.4,0.4,0.35,0.35
2017-05,0.34,0.36,0.36,0.33,0.28
2017-06,0.4,0.35,0.35,0.3,0.33
2017-07,0.35,0.32,0.32,0.24,0.26
2017-09,0.38,0.36,0.36,0.28,0.25
2017-11,0.4,0.43,0.43,0.38,0.41
2017-12,0.58,0.55,0.55,0.5,0.58
2018-01,0.66,0.65,0.6,0.55,0.53
2018-03,0.4,0.52,0.49,0.52,0.58
2018-05,0.44,0.4,0.35,0.3,0.27
2018-06,0.75,0.7,0.7,0.66,0.64
2018-08,0.65,0.67,0.67,0.63,0.65
2018-09,0.79,0.72,0.72,0.76,0.82
2018-11,0.66,0.65,0.58,0.5,0.45
2018-12,0.7,0.65,0.52,0.43,0.55
2019-01,0.48,0.58,0.44,0.36,0.4
2019-03,0.15,0.18,0.58,0.5,0.03
2019-05,0.27,0.22,0.58,0.5,0.05
2019-06,0.2,0.12,0.08,0.04,0.04
2019-07,0.21,0.2,0.15,0.08,0.06
2019-09,0.23,0.2,0.15,0.08,0.06
2019-10,0.2,0.22,0.15,0.08,0.06
2019-12,0.3,0.25,0.2,0.12,0.14
2020-01,0.28,0.25,0.2,0.12,0.08
2020-03,-0.2,-0.1,-0.14,-0.24,-0.22
2020-03,-0.62,-0.4,0.15,0.08,-0.66
2020-04,-0.75,-0.45,-0.55,-0.65,-0.68
2020-06,-0.66,-0.5,-0.45,-0.55,-0.62
2020-07,-0.4,-0.22,-0.28,-0.35,-0.25
2020-09,-0.25,-0.1,-0.2,-0.3,-0.2
2020-11,-0.25,-0.1,-0.15,-0.2,-0.1
2020-12,-0.22,-0.1,-0.08,-0.12,-0.18
2021-01,-0.3,-0.15,-0.1,-0.09,-0.05
2021-03,0.1,0.2,0.15,0.2,0.27
2021-04,0.2,0.22,0.2,0.3,0.35
2021-06,0.4,0.435,0.4,0.45,0.44
2021-07,0.4,0.45,0.4,0.55,0.6
2021-09,0.3,0.25,0.16,0.25,0.2
2021-11,0.3,0.25,0.2,0.3,0.25
2021-12,0.32,0.27,0.19,0.27,0.27
2022-01,0.26,0.2,0.1,0.18,0.15
2022-03,0.1,0.04,-0.03,-0.01,0.03
2022-05,-0.15,-0.18,-0.2,-0.12,-0.1
2022-06,-0.15,-0.2,-0.27,-0.19,-0.15
2022-07,-0.3,-0.4,-0.45,-0.48,-0.55
2022-09,-0.25,-0.35,-0.4,-0.5,-0.48
2022-11,-0.2,-0.25,-0.3,-0.4,-0.45
2022-12,-0.2,-0.25,-0.3,-0.4,-0.5
2023-02,-0.1,-0.14,-0.15,-0.15,-0.12
2023-03,-0.14,-0.18,-0.22,-0.3,-0.35
2023-05,0.1,0.04,-0.05,-0.2,-0.2
2023-06,0.1,0.05,-0.02,-0.12,-0.12
2023-07,0.1,0.05,0.03,-0.04,-0.02
2023-09,0.18,0.1,0.05,-0.05,-0.12
2023-11,0.15,0.1,0.05,-0.05,-0.15
2023-12,-0.1,-0.08,-0.1,-0.2,-0.25
2024-01,0.3,0.2,0.1,0.05,0.0
2024-03,0.32,0.29,0.2,0.1,0.1
2024-05,0.2,0.1,0.05,-0.02,0.02
2024-06,0.3,0.27,0.21,0.14,0.1
2024-07,0.25,0.2,0.15,0.07,0.04
2024-09,0.3,0.4,0.32,0.24,0.2
2024-11,0.3,0.25,0.2,0.15,0.1
2024-12,0.3,0.32,0.27,0.22,0.2
2025-01,0.3,0.25,0.15,0.1,0.05
2025-03,0.22,0.25,0.2,0.16,0.12
2025-04,0.15,0.1,0.05,-0.05,-0.08
2025-06,0.3,0.22,0.15,0.1,0.05
2025-07,-0.15,-0.08,-0.08,-0.12,-0.2


