prev_ANFCI,next_ANFCI,statement_date
-0.411624413,-0.41447736,02/01/2017
-0.426462797,-0.428067656,03/15/2017
-0.465727659,-0.486801946,05/03/2017
-0.526356246,-0.533235428,06/14/2017
-0.567624621,-0.555711362,07/26/2017
-0.505025078,-0.528768622,09/20/2017
-0.596066323,-0.62279237,11/01/2017
-0.631602094,-0.638141538,12/13/2017
-0.621071731,-0.576132715,01/31/2018
-0.495753428,-0.472677684,03/21/2018
-0.51930892,-0.541702745,05/02/2018
-0.538251563,-0.52869071,06/13/2018
-0.571743605,-0.606151529,08/01/2018
-0.635272966,-0.633313382,09/26/2018
-0.587150965,-0.563405096,11/08/2018
-0.455519633,-0.450630177,12/19/2018
-0.523735938,-0.554328091,01/30/2019
-0.601306844,-0.596379403,03/20/2019
-0.622802793,-0.611711257,05/01/2019
-0.590509071,-0.588587324,06/19/2019
-0.599680833,-0.578307826,07/31/2019
-0.565922444,-0.571559971,09/18/2019
-0.580506965,-0.625750723,10/30/2019
-0.625750723,-0.618225981,11/11/2019
-0.562239973,-0.551866981,12/11/2019
-0.607551336,-0.628914494,01/29/2020
0.069039259,0.41840603,03/15/2020
0.228293762,0.015941774,04/29/2020
-0.414402994,-0.483749595,06/10/2020
-0.546460128,-0.583545725,07/29/2020
-0.69910418,-0.701977588,09/16/2020
-0.54370726,-0.54577022,11/05/2020
-0.53057039,-0.54309603,12/16/2020
-0.549537412,-0.563488,01/27/2021
-0.588144086,-0.586228163,03/17/2021
-0.588567601,-0.58744372,04/28/2021
-0.61580259,-0.613789059,06/16/2021
-0.615836894,-0.607867439,07/28/2021
-0.662616764,-0.656887038,09/22/2021
-0.623593204,-0.573652975,11/03/2021
-0.502310947,-0.535181522,12/15/2021
-0.535924668,-0.506138067,01/26/2022
-0.275536882,-0.264375363,03/16/2022
-0.215050892,-0.157953779,05/04/2022
-0.086344148,-0.024202175,06/15/2022
-0.164852418,-0.225804726,07/27/2022
-0.167942313,-0.093828554,09/21/2022
-0.116703956,-0.175163324,11/02/2022
-0.191661474,-0.220312132,12/14/2022
-0.300448029,-0.310158779,02/01/2023
-0.13066162,-0.121452917,03/22/2023
-0.22314776,-0.236592991,05/03/2023
-0.242565786,-0.232867511,06/14/2023
-0.271077073,-0.292397047,07/26/2023
-0.287101653,-0.27180519,09/20/2023
-0.275345104,-0.317739835,11/01/2023
-0.371524152,-0.389566345,12/13/2023
-0.428160269,-0.440959761,01/31/2024
-0.485375054,-0.478256415,03/20/2024
-0.434077498,-0.430613852,05/01/2024
-0.402353549,-0.380110974,06/12/2024
-0.364958591,-0.368577787,07/31/2024
-0.456603851,-0.472890333,09/18/2024
-0.507874223,-0.522082005,11/07/2024
-0.518265218,-0.515052204,12/18/2024
-0.526130321,-0.510029797,01/29/2025
-0.454725886,-0.432286648,03/19/2025
-0.4334718,-0.473253878,05/07/2025
-0.479211879,-0.485069426,06/18/2025
-0.507133383,-0.519280832,07/30/2025
