prev_NFCI,next_NFCI,statement_date
-0.505174743,-0.508453237,02/01/2017
-0.501227856,-0.497445655,03/15/2017
-0.524885185,-0.544028009,05/03/2017
-0.572560794,-0.578526083,06/14/2017
-0.589304434,-0.585964376,07/26/2017
-0.571757411,-0.58178316,09/20/2017
-0.607630832,-0.613044858,11/01/2017
-0.614995355,-0.620843355,12/13/2017
-0.614364406,-0.58233008,01/31/2018
-0.514065762,-0.505070639,03/21/2018
-0.54699504,-0.56841833,05/02/2018
-0.563564059,-0.551353341,06/13/2018
-0.571972472,-0.589831416,08/01/2018
-0.6059188,-0.594618323,09/26/2018
-0.543960542,-0.508436722,11/08/2018
-0.435183733,-0.433225082,12/19/2018
-0.513914929,-0.557107665,01/30/2019
-0.60385829,-0.610917236,03/20/2019
-0.619640843,-0.608403793,05/01/2019
-0.575206427,-0.578199185,06/19/2019
-0.581378361,-0.562042864,07/31/2019
-0.518270917,-0.513953526,09/18/2019
-0.552972622,-0.575537865,10/30/2019
-0.575537865,-0.581387058,11/11/2019
-0.567344859,-0.555305348,12/11/2019
-0.628639254,-0.60088559,01/29/2020
0.041452535,0.283787142,03/15/2020
0.164377405,-0.036447714,04/29/2020
-0.318447337,-0.369797634,06/10/2020
-0.463538876,-0.495972526,07/29/2020
-0.50813348,-0.497953252,09/16/2020
-0.511684495,-0.542894582,11/05/2020
-0.597671584,-0.61111131,12/16/2020
-0.625527853,-0.627734125,01/27/2021
-0.641160602,-0.653126403,03/17/2021
-0.682072165,-0.692387198,04/28/2021
-0.699224074,-0.692033619,06/16/2021
-0.666016332,-0.655929218,07/28/2021
-0.657800251,-0.65903566,09/22/2021
-0.62632724,-0.588499381,11/03/2021
-0.540024086,-0.549981106,12/15/2021
-0.557751043,-0.52361717,01/26/2022
-0.387311479,-0.369594286,03/16/2022
-0.331797268,-0.294428018,05/04/2022
-0.204762597,-0.163399364,06/15/2022
-0.194145017,-0.22677212,07/27/2022
-0.142004772,-0.0965038,09/21/2022
-0.120463645,-0.157708732,11/02/2022
-0.186335126,-0.201979216,12/14/2022
-0.306579769,-0.310589533,02/01/2023
-0.172337517,-0.149927515,03/22/2023
-0.191599299,-0.207241196,05/03/2023
-0.217378547,-0.223891729,06/14/2023
-0.266662877,-0.299338824,07/26/2023
-0.336284151,-0.314171939,09/20/2023
-0.285161029,-0.299287953,11/01/2023
-0.342543263,-0.361089599,12/13/2023
-0.39937669,-0.41319188,01/31/2024
-0.441430897,-0.434578867,03/20/2024
-0.415010837,-0.415873956,05/01/2024
-0.406658772,-0.391598773,06/12/2024
-0.365905608,-0.364235061,07/31/2024
-0.416724465,-0.43146187,09/18/2024
-0.453596878,-0.469609962,11/07/2024
-0.482509462,-0.487605246,12/18/2024
-0.508676544,-0.510370669,01/29/2025
-0.446825068,-0.411168057,03/19/2025
-0.404841017,-0.440314774,05/07/2025
-0.482394883,-0.49673678,06/18/2025
-0.532018419,-0.544934301,07/30/2025
