date,statment,Theory,Policy
2017-02-01,0.3,0.32,0.25
2017-03-01,0.42,0.445,0.33
2017-05-01,0.35,0.325,0.22
2017-06-01,0.43,0.35,0.295
2017-07-01,0.36,0.325,0.285
2017-09-01,0.4,0.35,0.205
2017-11-01,0.4,0.41,0.335
2017-12-01,0.55,0.5,0.435
2018-01-01,0.64,0.6,0.52
2018-03-01,0.45,0.525,0.57
2018-05-01,0.45,0.46,0.425
2018-06-01,0.74,0.7,0.59
2018-08-01,0.75,0.73,0.61
2018-09-01,0.84,0.7,0.715
2018-11-01,0.7,0.665,0.48
2018-12-01,0.7,0.585,0.46
2019-01-01,0.45,0.41,0.185
2019-03-01,0.2,0.155,-0.005
2019-05-01,0.3,0.265,0.075
2019-06-01,0.2,0.11,0.035
2019-07-01,0.25,0.2,0.1
2019-09-01,0.24,0.15,0.065
2019-10-01,0.2,0.18,0.04
2019-12-01,0.3,0.245,0.11
2020-01-01,0.3,0.2,0.035
2020-03-01,-0.18,-0.1,-0.255
2020-04-01,-0.82,-0.51,-0.65
2020-06-01,-0.62,-0.41,-0.635
2020-07-01,-0.4,-0.25,-0.3
2020-09-01,-0.3,-0.135,-0.2
2020-11-01,-0.3,-0.12,-0.135
2020-12-01,-0.3,-0.11,-0.21
2021-01-01,-0.3,-0.15,-0.04
2021-03-01,0.1,0.18,0.265
2021-04-01,0.22,0.35,0.41
2021-06-01,0.44,0.425,0.465
2021-07-01,0.45,0.405,0.55
2021-09-01,0.35,0.295,0.27
2021-11-01,0.35,0.28,0.235
2021-12-01,0.35,0.275,0.245
2022-01-01,0.3,0.21,0.135
2022-03-01,0.1,0.055,0.04
2022-05-01,-0.12,-0.155,-0.1
2022-06-01,-0.12,-0.13,-0.12
2022-07-01,-0.32,-0.25,-0.525
2022-09-01,-0.23,-0.22,-0.375
2022-11-01,-0.25,-0.165,-0.425
2022-12-01,-0.15,-0.225,-0.425
2023-02-01,-0.15,-0.11,-0.055
2023-03-01,-0.1,-0.18,-0.4
2023-05-01,0.1,-0.05,-0.285
2023-06-01,0.15,0.05,-0.12
2023-07-01,0.12,0.065,-0.045
2023-09-01,0.2,0.11,-0.1
2023-11-01,0.2,0.1,-0.12
2023-12-01,-0.1,-0.075,-0.22
2024-01-01,0.25,0.175,0.02
2024-03-01,0.35,0.345,0.225
2024-05-01,0.25,0.135,0.03
2024-06-01,0.35,0.25,0.05
2024-07-01,0.25,0.2,0.055
2024-09-01,0.32,0.4,0.21
2024-11-01,0.35,0.345,0.15
2024-12-01,0.3,0.31,0.2
2025-01-01,0.34,0.27,0.085
2025-03-01,0.3,0.2,0.055
2025-05-01,0.15,0.09,-0.1
2025-06-01,0.3,0.2,0.03
2025-07-01,-0.1,-0.055,-0.1
