index,Statment,Papers,FSR,SLOOS,beigebook
1,0.25,0.15,0.1,0.05,0.1
2,0.3,0.25,0.3,0.25,0.2
3,0.3,0.35,0.3,0.25,0.2
4,0.3,0.25,0.2,0.15,0.1
5,0.1,0.15,0.1,0.15,0.2
6,0.25,0.2,0.15,0.1,0.05
7,0.15,0.1,0.05,0.02,0.01
8,0.1,0.15,0.1,0.05,0.0
9,0.25,0.2,0.15,0.1,0.15
10,0.2,0.15,0.1,0.15,0.1
11,0.25,0.2,0.25,0.2,0.15
12,0.25,0.15,0.1,0.05,0.1
13,0.2,0.15,0.1,0.05,0.1
14,0.25,0.3,0.35,0.3,0.25
15,0.2,0.15,0.1,0.05,0.03
16,0.2,0.15,0.1,0.05,0.1
17,0.2,0.15,0.1,0.1,0.15
18,0.2,0.15,0.1,0.05,0.03
19,0.2,0.15,0.2,0.15,0.2
20,0.2,0.15,0.1,0.05,0.1
21,0.25,0.2,0.15,0.1,0.05
22,0.15,0.1,0.15,0.1,0.05
23,0.3,0.25,0.2,0.15,0.1
24,0.25,0.2,0.15,0.1,0.15
25,0.25,0.2,0.15,0.1,0.15
26,0.2,0.15,0.1,0.15,0.1
27,0.2,0.15,0.1,0.05,0.03
28,0.25,0.2,0.15,0.1,0.05
29,0.2,0.15,0.2,0.15,0.2
30,0.25,0.15,0.1,0.05,0.1
