Statment,Papers,FSR,SLOOS,beigebook,index,,10% gpt5,,,10% gpt4o 0.3,,,10%gpt4o 0.2,
0.25,0.2,0.15,0.05,0.02,1,,0.24,median_statement,,0.05,median,,0.233666667,median
0.24,0.2,0.15,0.07,0.04,2,,0.028585424,std_statement,,0.043206268,std,,0.120273681,std
0.28,0.3,0.26,0.18,0.12,3,,0.233666667,mean,,0.067666667,mean,,0.167417363,mean
0.2,0.25,0.15,0.07,0.04,4,,,,,,,,,
0.25,0.3,0.25,0.18,0.12,5,,,,,,,,5% gpt4o 0.2,
0.25,0.2,0.1,0.05,0.03,6,,,,,,,,0.24,median
0.24,0.22,0.17,0.08,0.05,7,,,,,,,,0.028676355,std
0.2,0.22,0.18,0.12,0.1,8,,,,,,,,0.2316,mean
0.17,0.14,0.12,0.06,0.04,9,,,,,,,,,
0.22,0.2,0.12,0.05,0.02,10,,,,,,,,,
0.27,0.3,0.25,0.15,0.12,11,,,,,,,,,
0.21,0.23,0.18,0.12,0.08,12,,,,,,,,,
0.2,0.22,0.18,0.12,0.08,13,,,,,,,,,
0.25,0.15,0.1,0.05,0.03,14,,,,,,,,,
0.24,0.22,0.18,0.12,0.08,15,,,,,,,,,
0.24,0.25,0.2,0.1,0.08,16,,,,,,,,,
0.25,0.2,0.15,0.1,0.05,17,,,,,,,,,
0.2,0.18,0.12,0.04,0.02,18,,,,,,,,,
0.22,0.18,0.12,0.07,0.05,19,,,,,,,,,
0.24,0.21,0.17,0.08,0.05,20,,,,,,,,,
0.3,0.35,0.28,0.22,0.2,21,,,,,,,,,
0.25,0.3,0.25,0.18,0.14,22,,,,,,,,,
0.27,0.24,0.18,0.1,0.05,23,,,,,,,,,
0.22,0.26,0.23,0.15,0.1,24,,,,,,,,,
0.2,0.15,0.1,0.02,0.01,25,,,,,,,,,
0.25,0.3,0.22,0.12,0.08,26,,,,,,,,,
0.2,0.15,0.1,0.05,0.03,27,,,,,,,,,
0.22,0.2,0.12,0.05,0.03,28,,,,,,,,,
0.25,0.22,0.18,0.12,0.08,29,,,,,,,,,
0.23,0.21,0.18,0.12,0.09,30,,,,,,,,,
