Statment,Papers,FSR,SLOOS,beigebook,index,,,,
0.3,0.4,0.35,0.25,0.2,1,,,0.057435621,0.206666667
0.23,0.2,0.15,0.05,0.02,2,,,,
0.2,0.15,0.1,0.05,0.03,3,,,,
0.27,0.28,0.24,0.18,0.12,4,,,,
0.2,0.15,0.1,0.05,0.04,5,,,,
0.18,0.16,0.13,0.07,0.04,6,,,,
0.26,0.2,0.15,0.08,0.05,7,,,,
0.27,0.22,0.18,0.12,0.08,8,,,,
0.23,0.2,0.15,0.1,0.07,9,,,,
0.25,0.2,0.15,0.08,0.06,10,,,,
0.3,0.25,0.2,0.12,0.08,11,,,,
0.24,0.2,0.15,0.1,0.07,12,,,,
0.2,0.18,0.14,0.08,0.05,13,,,,
0.2,0.18,0.12,0.07,0.04,14,,,,
0.2,0.18,0.12,0.05,0.02,15,,,,
0.26,0.24,0.18,0.12,0.06,16,,,,
0.2,0.15,0.1,0.05,0.02,17,,,,
0.3,0.25,0.15,0.08,0.05,18,,,,
0.24,0.3,0.27,0.18,0.15,19,,,,
0.2,0.15,0.12,0.05,0.03,20,,,,
0.24,0.2,0.12,0.07,0.04,21,,,,
0.25,0.15,0.1,0.05,0.03,22,,,,
0.18,0.12,0.08,0.04,0.03,23,,,,
0.2,0.15,0.1,0.05,0.03,24,,,,
0.2,0.18,0.14,0.08,0.05,25,,,,
0.22,0.2,0.15,0.08,0.06,26,,,,
0.24,0.27,0.24,0.18,0.12,27,,,,
0.23,0.2,0.15,0.08,0.04,28,,,,
0.22,0.24,0.2,0.15,0.1,29,,,,
0.22,0.25,0.2,0.12,0.09,30,,,,
