gid_index,gid,token_total,simscore_percentage,adj_token,round_adj_token
0,FOMC201702,13000,16.6,12925,13000
1,FOMC201703,13000,18.1,12889,13000
2,FOMC201705,13000,10.4,12831,13000
3,FOMC201706,13000,13.0,12873,13000
4,FOMC201707,13000,14.1,12790,13000
5,FOMC201709,13000,12.2,12818,13000
6,FOMC201711,13000,16.8,12961,13000
7,FOMC201712,13000,17.4,12930,13000
8,FOMC201801,13000,15.4,12926,13000
9,FOMC201803,13000,13.9,12731,13000
10,FOMC201805,13000,100.0,11923,12000
11,FOMC201806,13000,47.9,12895,13000
12,FOMC201808,13000,58.0,12980,13000
13,FOMC201809,13000,100.0,9600,10000
14,FOMC201811,13000,23.5,12959,13000
15,FOMC201812,13000,30.2,12965,13000
16,FOMC201901,13000,15.8,12791,13000
17,FOMC201903,13000,35.8,12892,13000
18,FOMC201905,13000,29.3,12902,13000
19,FOMC201906,13000,31.0,12924,13000
20,FOMC201907,13000,18.1,12826,13000
21,FOMC201909,13000,20.1,12893,13000
22,FOMC201910,13000,16.4,12865,13000
23,FOMC201912,13000,33.3,12884,13000
24,FOMC202001,13000,90.6,12907,13000
25,FOMC202003,13000,12.3,12372,12000
26,FOMC202003,13000,12.3,12372,12000
27,FOMC202004,13000,23.3,12881,13000
28,FOMC202006,13000,14.9,12908,13000
29,FOMC202007,13000,59.7,12897,13000
30,FOMC202009,13000,41.6,12894,13000
31,FOMC202011,13000,76.5,12960,13000
32,FOMC202012,13000,31.7,12933,13000
33,FOMC202101,13000,30.1,12902,13000
34,FOMC202103,13000,43.4,12927,13000
35,FOMC202104,13000,44.2,12873,13000
36,FOMC202106,13000,51.2,12984,13000
37,FOMC202107,13000,56.7,12994,13000
38,FOMC202109,13000,87.3,12926,13000
39,FOMC202111,13000,27.1,12877,13000
40,FOMC202112,13000,81.5,12872,13000
41,FOMC202201,13000,67.4,12885,13000
42,FOMC202203,13000,26.9,12877,13000
43,FOMC202205,13000,21.5,12883,13000
44,FOMC202206,13000,34.7,12945,13000
45,FOMC202207,13000,36.9,12876,13000
46,FOMC202209,13000,62.5,12883,13000
47,FOMC202211,13000,55.3,12941,13000
48,FOMC202212,13000,60.1,12974,13000
49,FOMC202302,13000,79.7,12885,13000
50,FOMC202303,13000,71.5,12873,13000
51,FOMC202305,13000,42.3,12921,13000
52,FOMC202306,13000,41.4,12906,13000
53,FOMC202307,13000,25.6,12903,13000
54,FOMC202309,13000,60.7,12919,13000
55,FOMC202311,13000,67.5,12862,13000
56,FOMC202312,13000,63.5,12906,13000
57,FOMC202401,13000,42.0,12879,13000
58,FOMC202403,13000,40.4,12935,13000
59,FOMC202405,13000,43.9,12958,13000
60,FOMC202406,13000,40.5,12878,13000
61,FOMC202407,13000,84.7,12873,13000
62,FOMC202409,13000,38.7,12959,13000
63,FOMC202411,13000,20.0,12927,13000
64,FOMC202412,13000,33.9,12938,13000
65,FOMC202501,13000,80.1,12946,13000
66,FOMC202503,13000,68.4,12913,13000
67,FOMC202505,13000,79.1,12945,13000
68,FOMC202506,13000,73.2,12943,13000
69,FOMC202507,13000,77.8,12894,13000
