Statment,Papers,,std,avg,cv
-0.4,-0.35,,0.052137087,-0.243,-0.214555914
-0.3,-0.2,,,,
-0.38,-0.22,,,,
-0.28,-0.22,,,,
-0.4,-0.25,,,,
-0.25,-0.3,,,,
-0.3,-0.2,,,,
-0.3,-0.25,,,,
-0.35,-0.22,,,,
-0.35,-0.3,,,,
-0.38,-0.32,,,,
-0.3,-0.2,,,,
-0.25,-0.15,,,,
-0.32,-0.2,,,,
-0.3,-0.2,,,,
-0.35,-0.3,,,,
-0.35,-0.2,,,,
-0.25,-0.35,,,,
-0.4,-0.3,,,,
-0.32,-0.25,,,,
-0.3,-0.22,,,,
-0.35,-0.25,,,,
-0.35,-0.2,,,,
-0.3,-0.2,,,,
-0.3,-0.22,,,,
-0.35,-0.2,,,,
-0.4,-0.3,,,,
-0.3,-0.22,,,,
-0.4,-0.2,,,,
-0.4,-0.3,,,,
