gid_index,gid,token_total,simscore_percentage,adj_token,round_adj_token
0,FOMC201702,19000,25.4,18956,19000
1,FOMC201703,19000,27.2,18956,19000
2,FOMC201705,19000,15.1,18018,18000
3,FOMC201706,19000,20.1,18860,19000
4,FOMC201707,19000,21.7,18951,19000
5,FOMC201709,19000,20.3,18992,19000
6,FOMC201711,19000,25.7,18837,19000
7,FOMC201712,19000,26.3,18932,19000
8,FOMC201801,19000,24.8,18911,19000
9,FOMC201803,19000,23.2,18828,19000
10,FOMC201805,19000,100.0,11923,12000
11,FOMC201806,19000,72.3,18980,19000
12,FOMC201808,19000,84.9,18760,19000
13,FOMC201809,19000,100.0,9600,10000
14,FOMC201811,19000,37.1,18951,19000
15,FOMC201812,19000,45.0,18935,19000
16,FOMC201901,19000,24.4,18919,19000
17,FOMC201903,19000,54.3,18872,19000
18,FOMC201905,19000,44.7,18950,19000
19,FOMC201906,19000,47.0,18874,19000
20,FOMC201907,19000,26.8,18992,19000
21,FOMC201909,19000,30.3,18980,19000
22,FOMC201910,19000,24.8,18931,19000
23,FOMC201912,19000,50.5,18952,19000
24,FOMC202001,19000,100.0,14131,14000
25,FOMC202003,19000,19.3,18940,19000
26,FOMC202003,19000,19.3,18940,19000
27,FOMC202004,19000,35.3,18886,19000
28,FOMC202006,19000,24.7,18878,19000
29,FOMC202007,19000,90.6,18910,19000
30,FOMC202009,19000,63.5,18891,19000
31,FOMC202011,19000,100.0,16336,16000
32,FOMC202012,19000,47.5,18915,19000
33,FOMC202101,19000,45.2,18886,19000
34,FOMC202103,19000,67.6,18960,19000
35,FOMC202104,19000,67.2,18975,19000
36,FOMC202106,19000,76.5,18931,19000
37,FOMC202107,19000,85.5,18938,19000
38,FOMC202109,19000,100.0,14600,15000
39,FOMC202111,19000,41.1,18899,19000
40,FOMC202112,19000,100.0,15533,16000
41,FOMC202201,19000,99.9,18418,18000
42,FOMC202203,19000,40.9,18999,19000
43,FOMC202205,19000,32.4,18917,19000
44,FOMC202206,19000,52.4,18887,19000
45,FOMC202207,19000,56.0,18850,19000
46,FOMC202209,19000,95.8,18893,19000
47,FOMC202211,19000,86.6,18893,19000
48,FOMC202212,19000,93.2,18887,19000
49,FOMC202302,19000,100.0,15937,16000
50,FOMC202303,19000,100.0,17100,17000
51,FOMC202305,19000,64.0,18973,19000
52,FOMC202306,19000,63.1,18884,19000
53,FOMC202307,19000,37.0,18804,19000
54,FOMC202309,19000,90.9,18901,19000
55,FOMC202311,19000,99.9,18545,19000
56,FOMC202312,19000,95.4,18873,19000
57,FOMC202401,19000,63.2,18875,19000
58,FOMC202403,19000,61.9,18895,19000
59,FOMC202405,19000,67.8,18931,19000
60,FOMC202406,19000,62.9,18974,19000
61,FOMC202407,19000,100.0,14988,15000
62,FOMC202409,19000,58.4,18903,19000
63,FOMC202411,19000,30.1,18967,19000
64,FOMC202412,19000,49.9,18888,19000
65,FOMC202501,19000,100.0,15877,16000
66,FOMC202503,19000,99.9,18279,18000
67,FOMC202505,19000,100.0,16051,16000
68,FOMC202506,19000,100.0,17206,17000
69,FOMC202507,19000,100.0,16220,16000
