gid,token_total,simscore_percentage,adj_token,_simscore_pct,std,cv,mean,round_adj_token
FOMC201809,16000,100,9598,100,0.039040209,0.054067147,0.722068966,10000
FOMC202207,10000,26,9812,26,0.048911804,0.204386499,0.239310345,10000
FOMC202312,18000,90.5,17957,90.5,0.057779093,1.10966471,0.052068966,18000
FOMC201912,13000,33,12877,33,0.038500208,0.139563254,0.275862069,13000
FOMC201909,17000,26.5,16925,26.5,0.045039665,0.264939206,0.17,17000
FOMC202401,11000,35.5,10990,35.5,0.087638701,0.34578535,0.253448276,11000
FOMC202212,19000,90,18923,90,0.074407346,0.420626325,0.176896552,19000
FOMC201808,14000,64,13976,64,0.035089611,0.047286186,0.742068966,14000
FOMC201803,18000,21.5,17765,21.5,0.07572962,0.155425264,0.487241379,18000
FOMC202107,13000,56.5,12968,56.5,0.057092959,0.146781542,0.388965517,13000
FOMC202407,15000,97.5,14894,97.5,0.05253664,0.245735896,0.213793103,15000
FOMC202101,11000,25,10870,25,0.033443578,0.215047397,0.155517241,11000
FOMC202012,15000,37,14835,37,0.068734156,0.714441051,0.096206897,15000
FOMC202501,11000,67,10973,67,0.051790598,0.203789326,0.254137931,11000
FOMC202107,18000,80,17995,80,0.065581445,0.171454758,0.3825,18000
FOMC201709,14000,14.5,13825,14.5,0.042553936,0.123037301,0.345862069,14000
FOMC201805,20000,100,11958,100,0.084723543,0.17676135,0.479310345,12000
FOMC202305,14000,46.5,13899,46.5,0.082871792,8.01093994,0.010344828,14000
FOMC202405,17000,60,16957,60,0.062319691,0.484523064,0.12862069,17000
FOMC201905,12000,27,11887,27,0.047891503,0.211071974,0.226896552,12000
FOMC202001,19000,100,14288,100,0.046163129,0.220912664,0.208965517,14000
FOMC202306,13000,41.5,12993,41.5,0.047734384,0.954687683,0.05,13000
FOMC202207,16000,46.5,15733,46.5,0.072966691,0.272333852,0.267931034,16000
FOMC201903,10000,27,9915,27,0.042120517,0.305373746,0.137931034,10000
FOMC201706,17000,18,16978,18,0.060626857,0.157684202,0.384482759,17000
FOMC202112,12000,73,11875,73,0.058631772,0.228537822,0.256551724,12000
FOMC202503,19000,100,18245,100,0.084181074,0.319954278,0.263103448,18000
FOMC202007,15000,69.5,14977,69.5,0.038519396,0.166477269,0.23137931,15000
FOMC202009,15000,48,14858,48,0.073211012,0.599751225,0.122068966,15000
FOMC202503,11000,56.5,10874,56.5,0.083580586,0.334322342,0.25,11000
FOMC202112,18000,100,15745,100,0.068630158,0.250664303,0.273793103,16000
